,id,subscale,item,reversed
0,1,B,"No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman.",False
1,2,H,"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for “equality.”",False
2,3,B,"In a disaster, women ought not necessarily to be rescued before men.",True
3,4,H,Most women interpret innocent remarks or acts as being sexist.,False
4,5,H,Women are too easily offended.,False
5,6,B,People are often truly happy in life without being romantically involved with a member of the other sex.,True
6,7,H,Feminists are not seeking for women to have more power than men.,True
7,8,B,Many women have a quality of purity that few men possess.,False
8,9,B,Women should be cherished and protected by men.,False
9,10,H,Most women fail to appreciate fully all that men do for them.,False
10,11,H,Women seek to gain power by getting control over men.,False
11,12,B,Every man ought to have a woman whom he adores.,False
12,13,B,Men are complete without women.,True
13,14,H,Women exaggerate problems they have at work.,False
14,15,H,"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",False
15,16,H,"When women lose to men in a fair competition, they typically complain about being discriminated against.",False
16,17,B,A good woman should be set on a pedestal by her man.,False
17,18,H,There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,True
18,19,B,"Women, compared to men, tend to have a superior moral sensibility.",False
19,20,B,Men should be willing to sacrifice their own well-being in order to provide financially for the women in their lives.,False
20,21,H,Feminists are making entirely reasonable demands of men.,True
21,22,B,"Women, as compared to men, tend to have a more refined sense of culture and good taste.",False
