persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,3.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,5.0,0.0,2.0,2.0,3.0
2855,3.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,,2.0,3.0,4.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,5.0,3.0
2948,2.0,1.0,1.0,3.0,0.0,2.0,4.0,1.0,2.0,2.0,,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0
3912,3.0,0.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,5.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,3.0
5030,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0
5280,4.0,0.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,4.0
5312,4.0,0.0,4.0,2.0,1.0,4.0,3.0,3.0,1.0,,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0
5514,2.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,0.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0
5686,0.0,2.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,,4.0,1.0,2.0,3.0,3.0
6851,4.0,1.0,2.0,3.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,4.0,3.0,3.0,3.0,2.0
7086,4.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,3.0,3.0
