persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,4.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0
2855,4.0,,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,,2.0,
2948,5.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0
3912,4.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0
5030,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0
5280,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
5312,4.0,2.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
5514,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0
5686,,0.0,3.0,2.0,2.0,3.0,3.0,,3.0,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,,,0.0
6851,5.0,2.0,0.0,2.0,2.0,0.0,1.0,4.0,5.0,4.0,4.0,5.0,0.0,2.0,5.0,5.0,5.0,0.0,5.0,2.0,0.0,5.0
7086,4.0,2.0,1.0,2.0,2.0,2.0,,,,,,,3.0,2.0,,4.0,,,,,,
8257,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0
8864,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,3.0
8927,4.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
10169,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
10219,4.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0
10648,4.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,3.0
11938,4.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
