persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,2.0,1.0,3.0,3.0,2.0,1.0,5.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,3.0
2855,3.0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0
2948,1.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0
3912,2.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0
5030,4.0,0.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0
5280,5.0,1.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0
5312,5.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0
5514,1.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0
5686,0.0,2.0,4.0,0.0,2.0,2.0,5.0,,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,2.0
6851,3.0,2.0,1.0,3.0,1.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,3.0
7086,4.0,1.0,4.0,4.0,2.0,2.0,5.0,2.0,,3.0,0.0,1.0,3.0,1.0,,2.0,1.0,3.0,3.0,1.0,,2.0
8257,1.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0
8864,3.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0
8927,4.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0
10169,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0
10219,4.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,3.0
10648,1.0,2.0,4.0,1.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0
11938,3.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,0.0,0.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0
14464,2.0,2.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0
14557,4.0,1.0,4.0,2.0,2.0,4.0,5.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0
14854,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,,2.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0
15010,2.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0
16216,2.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,4.0,3.0
16589,5.0,3.0,2.0,3.0,3.0,0.0,4.0,5.0,5.0,4.0,,5.0,1.0,,5.0,5.0,4.0,0.0,4.0,5.0,1.0,5.0
17412,3.0,0.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0
17784,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,,1.0,2.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,4.0
18323,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,4.0,4.0,2.0,3.0,0.0,4.0,5.0,4.0,3.0,2.0,4.0,1.0,1.0,2.0
18474,2.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,1.0
19067,3.0,0.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,,0.0,4.0,1.0,4.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0
19776,1.0,0.0,5.0,0.0,1.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,5.0,1.0
20359,3.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0
20529,3.0,1.0,4.0,1.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,1.0,4.0,3.0
20860,3.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0
21427,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0
22745,3.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,0.0,3.0,4.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,3.0,1.0
23193,3.0,0.0,5.0,2.0,2.0,2.0,4.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,3.0
23512,4.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0
24776,5.0,0.0,3.0,1.0,2.0,3.0,5.0,1.0,3.0,0.0,3.0,4.0,5.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,3.0,1.0
25818,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
28600,1.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,,1.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,4.0
28692,4.0,1.0,4.0,3.0,5.0,1.0,0.0,3.0,5.0,4.0,3.0,1.0,2.0,1.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,5.0
30625,1.0,0.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,0.0,3.0,2.0
30973,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0
32146,3.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0
32281,4.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,5.0,2.0
32302,2.0,1.0,5.0,1.0,0.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,4.0,3.0,1.0,1.0,1.0
33110,4.0,,3.0,4.0,1.0,2.0,1.0,5.0,4.0,0.0,,4.0,0.0,1.0,2.0,,4.0,1.0,2.0,3.0,0.0,
33429,3.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0
34126,4.0,2.0,3.0,4.0,0.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,3.0
35074,1.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0
35440,2.0,1.0,3.0,2.0,0.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0
37306,1.0,4.0,3.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0
38004,3.0,1.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,5.0,1.0,2.0,4.0,3.0,1.0,4.0
38324,2.0,1.0,4.0,2.0,0.0,3.0,4.0,3.0,5.0,0.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0
38405,2.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0
40500,2.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0
41140,3.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0
43244,3.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0
43526,3.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0
44957,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0
44963,2.0,0.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0
45423,0.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,,3.0
45856,4.0,0.0,5.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,,3.0
46591,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0
46790,5.0,2.0,1.0,3.0,1.0,0.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,5.0,2.0,1.0,0.0,5.0,5.0,0.0,5.0
47369,3.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0
48405,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0
48545,4.0,3.0,0.0,3.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,0.0,5.0,3.0,1.0,5.0
50492,3.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0
50747,1.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0
50839,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0
51881,2.0,0.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0
52313,3.0,0.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0
52497,3.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0
53252,4.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,,1.0,2.0,,4.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,4.0,0.0
54658,4.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,4.0,4.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0
56726,2.0,2.0,4.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,3.0
56808,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0
57829,5.0,2.0,2.0,2.0,0.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,3.0
58267,5.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0
58290,5.0,4.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,0.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0
