persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,4.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0
2855,4.0,3.0,,4.0,4.0,1.0,2.0,,3.0,2.0,4.0,4.0,,,0.0,4.0,4.0,,0.0,0.0,3.0,4.0
2948,4.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,1.0,2.0,4.0,3.0,4.0
3912,4.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,,2.0,2.0,3.0,4.0
5030,4.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
5280,4.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,4.0
5312,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,4.0
5514,4.0,3.0,1.0,5.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,5.0,1.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0
5686,,,5.0,4.0,2.0,,2.0,0.0,,2.0,2.0,,3.0,2.0,2.0,2.0,0.0,,0.0,0.0,,0.0
6851,5.0,3.0,1.0,5.0,3.0,0.0,0.0,5.0,5.0,,3.0,5.0,0.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0
7086,,3.0,1.0,4.0,3.0,2.0,,,,,4.0,4.0,,2.0,,4.0,,,2.0,,,4.0
8257,4.0,2.0,3.0,5.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0
8864,4.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
8927,4.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0
10169,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0
10219,4.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0
10648,4.0,2.0,3.0,4.0,2.0,0.0,1.0,3.0,4.0,2.0,2.0,5.0,0.0,2.0,3.0,2.0,5.0,3.0,3.0,3.0,,3.0
11938,4.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0
14464,2.0,1.0,4.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0
14557,4.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0
14854,2.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,,4.0,4.0,2.0,2.0,,2.0,4.0,,3.0,4.0,3.0,4.0
15010,4.0,3.0,3.0,5.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0
16216,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
16589,5.0,4.0,1.0,5.0,4.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,4.0,5.0,5.0,5.0,,5.0,5.0,0.0,5.0
17412,4.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0
17784,4.0,3.0,,4.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,,3.0,0.0,,3.0
18323,4.0,4.0,1.0,5.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,1.0,4.0
18474,4.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0
19067,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
19776,0.0,0.0,5.0,4.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,5.0,2.0
20359,4.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0
20529,4.0,4.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,4.0
20860,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,0.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
21427,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0
22745,3.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0
23193,4.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0
23512,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0
24776,4.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0
25818,4.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0
28600,2.0,2.0,3.0,4.0,2.0,1.0,3.0,,,2.0,2.0,4.0,3.0,2.0,2.0,2.0,,,2.0,2.0,,2.0
28692,5.0,4.0,1.0,5.0,4.0,0.0,1.0,5.0,5.0,4.0,4.0,5.0,0.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,1.0,4.0
30625,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0
30973,4.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0
32146,4.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,,2.0,4.0,,4.0
32281,4.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0
32302,5.0,4.0,0.0,5.0,4.0,0.0,0.0,5.0,5.0,0.0,4.0,5.0,0.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,1.0,4.0
33110,4.0,,3.0,,2.0,0.0,0.0,,5.0,,,5.0,,3.0,2.0,4.0,5.0,0.0,,3.0,3.0,5.0
33429,4.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0
34126,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,,4.0,4.0,,4.0
