persona_id,1,2,3,4,5,6,7,8
282,1,5,1,1,1,2,4,2
2855,2,4,1,2,4,4,2,2
2948,1,5,1,1,1,1,2,1
3912,2,4,1,2,4,2,2,2
5030,2,4,2,2,2,2,2,2
5280,1,4,1,2,2,2,4,2
5312,2,4,2,2,2,2,4,2
5514,1,5,1,1,4,3,2,2
5686,2,4,2,2,2,2,2,2
6851,1,5,1,1,1,1,2,1
7086,2,4,1,4,4,3,2,2
8257,1,4,1,1,4,2,2,2
8864,2,4,2,2,4,4,2,2
8927,2,4,1,2,2,4,2,2
10169,1,4,1,1,2,2,4,2
10219,2,4,2,2,2,2,4,2
10648,1,5,1,1,1,1,2,1
11938,2,4,2,2,2,2,4,2
14464,1,5,1,1,1,1,5,1
14557,2,4,2,2,2,3,2,2
14854,2,4,2,2,4,2,2,2
15010,2,4,1,2,2,2,2,2
16216,1,4,2,2,2,2,4,2
16589,1,5,1,1,1,1,5,1
17412,2,4,2,2,2,2,4,2
17784,2,4,2,2,4,3,2,2
18323,1,5,1,1,1,1,5,2
18474,1,2,1,1,4,4,2,2
19067,1,2,1,1,4,4,2,1
19776,1,5,1,1,1,1,5,1
20359,2,4,2,2,2,2,2,2
20529,1,5,1,1,1,1,5,2
20860,1,4,1,1,4,4,2,2
21427,2,2,4,4,4,4,2,2
22745,2,3,2,2,3,3,2,2
23193,2,4,2,2,2,4,2,2
23512,2,2,4,4,4,4,2,2
24776,2,4,1,2,2,2,2,2
25818,2,4,2,2,2,2,2,2
28600,2,4,1,1,2,1,2,2
28692,1,5,1,1,1,1,5,1
30625,1,5,1,1,4,3,2,2
30973,2,2,2,2,4,4,2,2
32146,2,4,1,2,2,4,2,2
32281,2,4,2,2,2,2,2,2
32302,1,5,1,1,1,1,5,1
33110,1,2,1,1,1,1,2,2
33429,2,4,1,4,4,4,2,2
34126,2,2,1,4,4,4,2,2
35074,2,2,2,2,4,4,2,2
35440,1,4,1,1,2,4,2,2
37306,2,4,1,2,2,3,4,2
38004,2,4,1,2,2,2,2,2
38324,1,4,1,2,2,2,4,2
38405,2,4,2,2,2,2,4,2
40500,1,4,1,2,3,3,4,2
41140,2,4,2,2,2,2,2,2
43244,2,4,1,2,4,3,2,2
43526,1,2,4,4,4,4,2,2
44957,2,4,1,2,4,4,2,2
44963,1,4,1,1,4,4,2,2
45423,2,2,1,4,4,4,2,2
45856,1,4,1,1,4,4,2,2
46591,2,4,2,2,4,4,2,2
46790,1,2,1,4,4,4,1,1
47369,1,4,1,2,4,4,2,2
48405,1,4,1,1,4,3,2,2
48545,1,5,1,1,1,4,2,1
50492,2,4,2,2,2,2,2,2
50747,1,2,1,4,4,4,2,1
50839,1,4,1,1,2,2,4,2
51881,1,2,2,2,4,4,2,2
52313,2,2,1,2,4,4,2,2
52497,1,4,1,2,4,4,2,2
53252,2,4,2,2,2,4,2,2
54658,1,5,1,1,1,1,2,1
56726,2,4,2,2,2,3,2,2
56808,1,2,1,4,4,4,2,1
57829,1,2,1,4,4,4,2,2
58267,1,4,1,2,4,3,2,2
58290,2,2,1,2,4,1,2,2
58412,2,4,2,2,2,3,4,2
58838,1,4,1,2,4,3,2,2
59059,2,4,1,2,2,2,2,2
60046,2,3,2,2,4,2,2,2
61007,2,4,1,1,1,2,2,2
61594,1,4,1,2,2,1,4,2
62283,1,2,4,4,4,4,2,2
