random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1,1,4,4,4,1,1,4,4,2,1,1,3,1,1,1,1,4,1,4,1,4
2,5,0,5,0,1,1,5,5,0,0,4,3,5,0,4,0,2,5,3,0,5,4
3,4,4,1,4,4,1,1,4,4,4,4,4,1,4,4,4,4,1,4,4,1,4
4,0,1,2,3,0,2,5,3,0,3,0,5,5,0,2,2,3,2,3,0,2,3
5,5,0,0,3,2,0,5,5,5,0,3,5,0,4,0,5,1,3,4,0,2,3
6,3,3,3,3,3,2,5,3,3,3,3,3,0,3,3,0,0,3,3,3,2,3
7,1,1,1,1,1,4,4,1,1,3,1,1,4,1,1,1,1,4,1,1,4,3
8,5,1,4,2,1,2,4,5,5,2,1,5,4,1,2,2,1,4,2,1,4,1
9,0,0,3,3,0,1,5,3,2,2,0,0,2,0,0,3,0,5,3,0,3,2
10,3,2,4,1,1,2,4,3,3,3,3,3,4,1,1,2,2,3,2,3,3,3
11,4,1,4,3,2,0,4,4,4,1,4,1,4,1,1,1,2,2,1,1,4,3
12,0,2,3,2,1,1,5,0,3,2,2,4,3,2,2,1,2,5,2,0,5,0
13,3,1,3,2,2,2,2,3,2,3,3,3,2,2,3,2,2,2,3,0,2,3
14,4,2,4,2,4,1,1,1,4,4,4,4,2,2,2,3,1,1,4,4,1,4
15,4,4,1,4,4,1,1,4,1,4,4,4,1,4,4,4,4,1,4,4,1,4
16,5,1,1,3,2,2,1,5,5,5,5,5,3,3,2,3,3,3,3,3,2,3
17,1,1,4,1,2,4,4,2,1,1,1,1,4,1,1,1,1,4,1,1,4,1
18,0,2,3,2,1,1,3,2,2,4,2,3,4,0,2,2,2,4,2,0,3,2
19,4,4,1,4,2,1,1,4,2,4,4,4,1,4,4,4,0,1,4,4,1,4
20,2,1,3,2,2,2,3,2,3,4,3,2,2,2,4,3,2,3,3,3,2,3
21,4,1,1,4,2,1,1,4,4,4,4,4,1,4,4,1,1,1,1,4,1,1
22,3,0,1,4,3,1,5,4,4,4,4,5,1,3,0,0,0,5,0,4,1,0
23,3,0,0,0,0,0,1,5,4,5,4,3,5,2,0,2,2,2,3,0,2,4
24,4,0,1,1,2,2,1,4,4,4,4,2,1,1,1,4,2,1,4,4,1,4
25,4,4,1,4,4,2,1,3,3,4,4,4,1,1,4,3,2,2,3,4,1,4
26,3,0,1,1,3,2,2,3,3,3,3,3,2,0,3,0,3,2,3,3,2,3
27,4,0,5,0,0,1,3,5,0,4,0,0,5,2,2,0,0,5,4,0,5,2
28,4,1,2,1,4,2,2,4,5,3,3,3,4,3,3,3,3,1,3,3,2,3
29,2,2,3,2,2,3,3,2,2,2,2,2,3,2,2,1,2,3,2,2,3,2
30,0,0,5,3,0,1,5,3,0,0,0,3,5,0,3,0,0,2,4,3,2,3
31,1,1,4,1,1,1,4,1,4,1,1,4,4,1,1,1,1,4,4,1,4,1
32,1,1,4,1,1,1,4,1,1,1,2,1,3,1,1,1,1,4,1,1,4,1
33,5,0,0,4,2,0,3,5,4,3,4,5,1,2,3,2,1,3,3,0,3,3
34,1,1,4,2,1,2,4,1,0,0,1,1,4,1,1,0,0,4,1,1,4,1
35,1,1,3,1,2,1,5,2,2,4,2,4,3,2,2,2,1,3,2,2,3,2
36,5,0,4,1,2,1,1,5,5,2,5,5,0,1,1,1,2,3,1,1,4,4
37,5,2,0,2,2,3,3,5,5,2,2,2,3,2,2,2,2,3,2,2,3,2
38,4,2,1,4,4,1,1,3,4,4,4,4,1,4,4,4,4,1,4,4,1,4
39,1,1,4,1,1,1,4,1,3,0,0,1,4,0,1,1,2,4,4,0,4,1
40,5,2,4,4,0,2,1,4,0,0,4,5,5,0,0,0,0,5,4,4,0,4
41,3,0,3,4,4,2,5,3,1,4,0,4,3,1,1,2,0,5,2,1,2,3
42,1,1,4,1,1,2,4,1,1,1,1,3,4,1,1,1,1,4,3,1,4,3
43,5,0,1,2,1,0,0,3,5,0,0,5,1,0,5,0,2,4,0,1,5,4
44,2,2,3,2,2,3,3,2,4,2,2,2,3,2,2,2,2,3,2,2,3,3
45,5,0,1,4,2,1,1,4,4,4,0,4,3,4,0,0,2,1,2,0,1,4
46,3,2,3,2,2,0,0,5,4,2,5,3,3,2,2,2,2,3,3,2,0,2
47,4,4,1,4,1,1,1,4,1,4,4,4,1,4,4,4,4,1,4,4,1,4
48,2,2,3,2,2,2,3,2,2,2,2,2,3,2,1,2,2,3,2,2,3,2
49,5,0,5,4,0,1,1,3,4,0,0,4,1,0,4,4,0,1,4,0,1,0
50,5,1,1,1,2,2,1,4,3,4,2,4,5,1,1,1,4,5,4,2,1,3
51,5,0,0,1,1,3,0,5,3,5,5,5,0,1,5,1,1,4,2,0,4,0
52,3,3,2,3,2,2,2,3,3,3,4,3,2,2,3,3,1,2,4,2,2,3
53,5,2,0,2,2,2,2,3,5,3,5,5,2,3,5,2,2,0,5,2,2,3
54,4,4,1,4,4,2,1,3,4,4,4,4,1,4,4,4,3,1,4,4,1,4
55,5,0,5,1,1,0,3,2,5,0,0,5,0,1,0,1,4,3,1,0,0,4
