random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
2,0.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,1.0,4.0,,4.0,4.0,2.0,4.0,0.0,5.0,4.0
3,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
4,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0
5,5.0,2.0,0.0,5.0,2.0,0.0,0.0,5.0,5.0,,2.0,5.0,0.0,2.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,5.0
6,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
7,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0
8,5.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,5.0,2.0,2.0,5.0,0.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,3.0,4.0
9,0.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,5.0,4.0
10,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
11,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0
12,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,3.0,2.0
13,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0
14,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
15,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
16,5.0,3.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,5.0,0.0,2.0,5.0,5.0,5.0,0.0,5.0,5.0,2.0,5.0
17,4.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
