persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,1,0,0,2,2,0,0,1,2,0,0,2,5,0,1,0,0,0,4,0,0,4
2855,1,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,4,1,0,0,0
2948,5,0,5,2,0,0,0,1,3,0,0,1,5,0,0,0,0,1,3,0,1,2
3912,1,0,3,2,0,0,0,0,4,0,0,0,5,0,0,0,0,4,3,0,1,2
5030,5,0,0,2,0,0,0,3,4,0,0,5,5,0,1,0,0,0,3,0,1,2
5280,5,0,0,2,0,0,0,5,5,0,0,5,5,0,5,0,0,2,4,0,0,4
5312,5,5,0,4,5,0,0,5,5,5,1,5,0,5,5,5,5,0,4,4,3,4
5514,5,0,0,2,0,0,0,4,5,0,0,5,5,0,1,0,2,0,4,0,1,4
5686,1,0,5,0,0,0,0,0,3,0,0,1,5,0,0,0,0,5,1,0,1,0
6851,5,0,0,1,2,0,0,1,1,0,0,5,5,0,0,0,0,0,4,0,0,2
7086,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,4,3,0,1,0
8257,4,0,5,2,0,0,0,3,3,0,0,4,5,0,1,0,0,4,4,0,0,2
8864,5,0,0,0,2,0,0,4,5,0,2,5,5,0,4,0,0,0,4,1,1,4
8927,4,0,5,1,0,0,0,3,5,0,0,3,5,0,0,0,0,0,4,1,1,4
10169,1,0,0,1,0,0,0,2,0,0,0,5,5,0,0,0,0,0,3,1,1,1
10219,4,0,0,2,1,0,0,3,4,1,0,3,5,0,3,0,0,0,3,1,0,3
10648,5,0,0,0,1,0,0,5,5,0,0,5,3,0,0,0,0,0,3,1,1,4
11938,4,1,0,2,5,0,2,5,5,4,1,5,5,2,5,0,1,0,4,2,4,3
14464,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,5,5,0,0,0
14557,4,0,1,2,1,0,0,4,4,0,0,5,5,0,3,0,0,0,4,1,0,4
14854,3,0,0,1,1,0,0,1,4,1,0,3,5,0,0,0,0,1,4,0,0,2
15010,5,0,5,1,0,0,0,4,2,0,0,5,5,0,0,0,0,3,4,2,0,4
16216,5,0,0,2,1,0,0,4,5,2,1,4,5,1,0,0,0,1,4,0,1,4
16589,5,0,0,0,2,0,0,5,5,0,0,5,5,0,0,0,0,5,5,0,0,5
17412,5,0,0,2,1,0,0,4,5,2,0,4,5,0,5,0,0,0,4,0,0,4
17784,5,0,5,2,0,0,0,4,5,0,0,5,5,0,0,0,0,0,4,0,2,3
18323,5,0,0,1,2,0,0,4,5,0,0,5,5,0,0,0,0,1,4,1,0,4
18474,1,0,4,1,2,0,0,2,1,0,0,2,5,0,0,0,1,0,2,0,1,1
19067,5,0,0,0,1,0,0,1,5,0,0,5,5,0,0,0,0,0,2,0,2,2
19776,0,0,0,0,5,0,0,0,5,0,0,0,5,0,5,0,0,5,2,0,5,0
20359,5,0,0,2,0,0,0,5,5,2,0,2,5,0,0,0,0,0,4,0,1,4
20529,5,0,0,1,0,0,0,3,5,0,0,5,5,0,1,0,0,0,4,0,0,2
20860,5,0,0,2,0,0,0,5,5,0,0,5,5,0,0,0,0,1,4,1,1,3
21427,5,0,1,2,2,0,0,3,5,1,1,4,5,1,2,0,1,1,4,1,1,4
22745,4,2,0,1,0,0,0,4,5,2,0,5,5,0,1,0,1,1,3,0,0,4
23193,2,0,0,0,2,0,0,5,5,0,0,5,5,0,0,0,0,1,4,1,1,2
23512,2,0,5,1,0,0,0,2,5,0,0,5,5,1,0,0,0,0,2,0,0,1
24776,1,0,0,0,0,0,0,4,3,0,0,5,5,0,1,0,0,0,3,0,0,0
25818,5,0,0,2,1,0,0,5,5,1,0,5,5,0,1,0,1,0,3,1,0,4
28600,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,3,0,0,1
28692,5,0,0,1,0,0,0,4,5,0,0,4,5,0,0,0,0,0,5,0,0,4
30625,1,0,0,2,1,0,0,2,3,0,0,4,5,0,0,0,0,0,2,0,0,2
30973,4,0,0,2,2,0,0,4,4,0,0,3,5,0,5,0,0,2,4,1,1,4
32146,2,0,0,1,0,0,0,1,3,0,0,1,5,0,0,0,2,2,3,0,1,2
32281,5,0,0,1,0,0,0,1,5,0,0,5,5,0,0,0,0,0,4,0,2,3
32302,5,0,5,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,5,0,0,3
33110,5,0,0,0,0,0,0,4,5,0,1,5,5,0,5,0,5,0,3,1,0,3
33429,5,0,5,1,0,0,0,4,5,0,1,5,5,0,0,0,0,0,4,1,0,2
34126,5,1,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,1,4,1,1,3
35074,2,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,1,1,1,0,1,2
35440,5,0,0,1,2,0,0,3,3,0,0,3,5,0,0,0,0,1,4,1,0,4
37306,1,0,5,0,0,0,0,0,5,0,0,5,5,0,0,0,0,5,3,2,0,3
38004,5,0,0,1,1,0,0,4,5,2,0,5,5,0,2,0,0,0,4,1,0,3
38324,5,0,0,2,0,0,0,2,5,1,0,5,5,0,5,0,0,0,4,0,1,4
38405,1,0,0,2,2,0,0,1,2,2,1,3,5,0,4,0,0,0,1,0,1,1
40500,1,1,0,2,2,0,0,4,3,1,1,4,5,0,4,0,0,1,2,1,1,2
41140,3,0,0,2,1,0,0,4,2,1,0,5,5,0,0,0,0,0,3,0,1,3
43244,4,0,5,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,3,2,1,2
43526,5,0,0,1,0,0,0,5,5,1,0,5,5,0,1,0,0,0,4,0,0,4
44957,5,0,0,1,0,0,0,4,5,0,0,5,5,0,0,0,0,0,4,0,1,4
44963,2,0,0,0,0,0,0,1,5,1,0,0,5,0,1,0,0,0,4,0,0,0
45423,2,0,5,0,0,0,0,0,5,0,0,0,5,0,1,0,0,0,5,0,0,2
45856,1,0,4,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0
46591,4,0,0,0,0,0,0,3,5,0,0,5,5,0,0,0,0,1,3,0,0,3
46790,5,0,5,0,0,0,0,5,5,0,0,5,5,0,0,0,1,0,5,0,0,4
47369,0,0,0,1,0,0,0,0,4,0,0,2,5,0,0,0,0,4,3,0,0,2
48405,1,0,0,1,0,0,0,0,1,0,0,1,5,0,1,0,0,1,4,0,0,1
48545,5,0,0,2,0,0,0,5,5,2,0,5,5,0,4,0,0,0,4,2,0,4
50492,5,0,0,1,0,0,0,4,5,0,0,5,5,0,5,0,1,0,3,0,1,4
50747,0,0,0,2,0,0,0,0,1,0,0,5,5,0,2,0,0,0,4,0,0,4
50839,5,0,1,2,2,0,0,4,5,0,1,5,5,0,5,0,0,1,4,1,0,4
51881,2,0,0,0,0,0,0,3,4,0,0,4,5,0,0,0,0,0,4,0,0,4
