persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,2,4,2,4,2,0,0,2,5,0,0,5,2,0,0,2,5,2,3,0,2,4
2855,0,5,5,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,3,0,5,4
2948,4,5,0,4,3,0,0,4,5,0,0,5,0,0,4,4,5,1,3,0,2,4
3912,0,4,1,5,0,0,0,0,5,0,0,5,0,0,0,4,5,5,3,0,1,4
5030,4,4,1,5,2,0,0,4,5,0,0,5,0,0,4,4,5,1,4,0,1,4
5280,5,5,0,4,2,0,0,4,5,0,0,5,0,0,4,4,5,0,4,0,1,4
5312,5,5,0,4,4,0,0,4,5,5,4,5,0,4,5,5,5,0,4,4,3,5
5514,4,4,0,4,0,0,0,4,5,0,0,5,0,0,0,2,5,0,3,0,1,4
5686,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,5,5,3,0,5,4
6851,5,5,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,5,5,0,0,4
7086,0,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,5,4
8257,4,4,1,4,0,0,0,4,5,0,0,5,0,0,0,0,5,5,3,0,1,4
8864,5,4,2,4,3,0,0,4,5,0,2,5,0,0,4,4,5,1,4,2,1,4
8927,4,4,2,4,1,0,0,3,5,0,0,5,2,0,0,4,5,4,3,0,1,4
10169,1,4,1,4,0,0,0,1,5,0,0,4,0,0,0,4,4,4,3,0,1,4
10219,4,4,1,4,2,0,0,4,5,0,0,4,1,0,0,4,5,1,4,0,1,4
10648,5,0,5,0,0,0,0,3,5,0,0,5,2,0,0,0,5,5,3,0,5,3
11938,5,5,0,0,4,0,0,4,5,0,0,5,0,0,5,5,5,0,3,2,5,4
14464,0,5,0,5,0,0,0,0,5,0,0,5,0,0,0,5,5,5,5,0,0,5
14557,4,4,1,4,3,0,0,3,5,0,0,5,2,0,4,4,5,2,4,2,1,4
14854,0,4,1,4,0,0,0,2,5,0,0,5,1,0,0,4,5,5,4,0,1,4
15010,4,4,2,4,0,0,0,4,5,0,0,5,5,0,0,0,5,5,4,2,1,4
16216,4,4,0,4,3,0,0,4,5,0,1,5,0,0,4,4,5,0,4,0,1,4
16589,5,5,0,5,0,0,0,0,5,0,0,5,0,0,0,5,5,5,5,0,5,5
17412,5,4,0,4,4,0,0,4,5,0,0,5,0,0,4,4,5,0,4,0,4,4
17784,5,5,0,4,2,0,0,4,5,0,0,5,0,0,0,0,5,5,3,0,5,4
18323,4,4,1,4,0,0,0,4,5,0,0,5,1,0,0,1,5,1,4,0,1,4
18474,0,4,1,4,0,0,0,2,5,0,0,5,0,0,0,1,5,5,4,0,1,4
19067,0,5,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,4,0,5,4
19776,0,5,0,5,5,0,0,4,5,0,0,5,0,0,5,5,5,0,3,0,5,4
20359,2,5,1,4,0,0,0,3,5,0,0,5,0,0,0,0,5,5,3,4,5,4
20529,4,4,1,4,0,0,0,4,5,0,0,5,1,0,0,4,5,4,4,0,1,4
20860,5,5,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,4,3,0,5,4
21427,4,4,1,4,4,0,0,4,5,0,0,5,1,0,4,4,5,1,4,2,1,4
22745,4,4,1,4,2,0,0,4,5,0,0,5,1,0,1,4,5,1,4,2,1,4
23193,4,4,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,5,3,0,5,4
23512,0,5,0,4,4,0,0,0,5,0,0,5,0,0,0,4,5,5,4,0,5,4
24776,2,4,1,5,0,0,0,2,5,0,0,5,0,0,0,1,5,5,4,2,1,4
25818,4,4,1,4,4,0,0,4,5,0,0,5,1,0,4,4,5,1,4,4,1,4
28600,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,0,3,0,5,4
28692,4,4,2,4,0,0,0,4,5,0,0,5,0,0,0,2,5,2,4,2,1,4
30625,2,4,1,4,2,0,0,2,5,0,0,4,1,0,0,0,5,5,3,0,1,4
30973,4,4,1,4,2,0,0,4,5,0,2,5,1,0,4,4,5,1,4,2,1,4
32146,4,4,1,4,0,0,0,4,5,0,0,5,2,0,0,4,5,1,3,0,2,4
32281,5,4,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,5,4,0,5,4
32302,5,5,0,5,0,0,0,5,5,0,0,5,0,0,0,0,5,5,5,0,0,4
33110,5,5,0,4,2,0,0,4,5,0,0,5,0,0,4,4,5,5,4,2,1,5
33429,4,4,0,4,4,0,0,4,5,0,0,5,0,0,0,4,5,5,3,0,1,4
34126,5,5,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,5,3,0,5,4
35074,0,4,1,4,0,0,0,1,5,0,0,5,0,0,0,0,5,2,4,0,1,4
35440,4,4,1,4,0,0,0,4,5,0,0,5,0,0,2,4,5,1,4,0,1,4
37306,4,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,5,3,0,2,4
38004,5,4,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,0,4,2,1,4
38324,5,5,0,4,2,0,0,4,5,0,0,5,0,0,5,4,5,0,4,0,1,4
38405,2,5,0,4,4,0,0,2,5,0,0,4,1,0,4,4,4,1,3,0,4,4
40500,1,4,1,4,1,0,0,2,5,0,1,4,1,0,1,4,4,4,3,1,1,4
41140,4,4,1,4,2,0,0,4,5,0,0,5,0,0,1,4,5,1,4,0,1,4
43244,2,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,5,3,0,1,4
43526,4,4,2,4,2,0,0,4,5,0,0,5,0,0,0,4,5,1,4,0,1,4
44957,4,4,1,4,2,0,0,4,5,0,0,5,1,0,0,4,5,4,4,0,1,4
44963,0,5,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,4,0,5,4
45423,0,5,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,3,0,2,4
45856,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,5,4
46591,4,4,2,4,0,0,0,3,5,0,0,5,2,0,0,4,5,5,3,0,1,4
46790,5,4,0,4,3,0,0,4,5,0,0,5,0,0,0,4,5,0,4,0,1,4
47369,2,5,1,4,0,0,0,0,5,0,0,4,0,0,0,0,5,5,4,0,1,4
48405,0,2,0,4,0,0,0,0,5,0,0,4,0,0,0,0,5,5,3,0,1,3
48545,5,4,1,4,2,0,0,4,5,0,0,5,0,0,4,4,5,1,4,0,1,4
50492,4,5,0,4,2,0,0,4,5,0,0,5,1,0,0,4,5,5,3,0,1,4
50747,2,0,5,5,0,0,0,2,5,0,0,5,0,0,0,1,5,5,4,4,0,4
50839,4,4,1,4,2,0,0,4,5,0,0,5,1,0,4,4,5,1,4,2,1,4
51881,4,4,2,4,0,0,0,3,5,0,0,5,0,0,0,4,5,4,4,0,2,4
52313,2,4,5,4,0,0,0,2,5,0,0,5,2,0,0,1,5,5,4,0,1,4
52497,4,4,1,4,2,0,0,4,5,0,0,5,1,0,4,4,5,1,4,0,1,4
53252,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,3,0,5,4
54658,5,5,0,4,5,0,0,0,5,0,0,5,0,0,5,5,5,0,4,0,5,4
56726,4,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,1,4,0,2,4
56808,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,5,4,4,0,0,4
57829,5,5,0,4,4,0,0,4,5,0,2,5,0,0,4,4,5,0,4,2,1,4
58267,4,4,1,4,2,0,0,4,5,0,0,5,1,0,0,4,5,5,3,0,1,4
58290,4,4,5,4,0,0,0,4,5,0,0,5,0,0,0,0,5,5,3,0,1,4
58412,0,5,0,4,0,0,0,2,5,0,0,5,0,0,0,0,5,5,3,0,4,3
58838,4,4,1,4,2,0,0,4,5,0,0,5,1,0,0,4,5,4,3,0,1,4
59059,4,4,2,4,0,0,0,3,5,0,0,5,0,0,1,4,5,4,4,2,2,4
60046,4,0,1,4,0,0,0,0,5,0,0,5,1,0,0,0,5,5,4,0,5,4
61007,5,4,0,4,4,0,0,4,5,0,2,5,0,0,4,4,5,0,4,0,1,4
61594,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,3,0,5,4
62283,5,4,0,4,2,0,0,4,5,0,0,5,0,0,0,4,5,1,4,0,1,5
