random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,5,1,0,2,0,0,0,3,4,2,0,4,5,0,1,0,1,0,4,0,0,4
2,5,2,0,1,1,0,0,4,5,0,0,5,5,0,0,0,0,0,4,0,1,3
3,5,0,0,2,1,0,0,3,5,0,0,4,5,0,1,0,0,1,3,0,1,4
4,4,0,0,2,2,0,0,3,4,1,0,5,5,0,4,0,0,0,3,0,1,3
5,4,0,0,0,0,0,0,4,4,0,0,4,5,0,1,0,0,0,3,0,0,4
6,5,1,0,2,0,0,0,4,5,0,0,5,5,0,2,0,0,1,3,0,0,3
7,3,1,1,1,0,0,0,3,5,0,0,5,5,0,0,0,0,0,4,1,1,3
8,3,0,0,2,0,0,0,4,5,0,0,5,5,0,5,0,1,0,3,0,0,3
9,5,0,0,0,1,0,0,3,5,2,0,3,5,0,0,0,0,0,4,0,1,3
10,5,0,0,2,1,0,0,3,5,0,0,4,5,0,4,0,2,0,3,1,1,3
11,5,0,0,2,0,0,0,4,5,0,0,5,5,0,5,0,0,1,3,0,0,3
12,5,0,0,1,1,0,0,4,5,0,0,5,5,0,5,0,0,0,4,0,0,3
13,5,0,0,0,1,0,0,3,5,0,0,4,5,0,2,0,0,0,3,0,0,4
14,5,0,0,1,2,0,0,4,4,0,0,5,5,0,1,0,0,0,4,0,1,3
15,5,0,0,1,0,0,0,4,4,0,0,4,5,0,5,0,0,1,3,0,0,4
16,3,0,0,1,2,0,0,4,4,0,0,3,5,0,4,0,0,0,4,0,0,3
17,4,0,0,1,0,0,0,4,5,2,0,5,5,0,0,0,0,0,3,0,1,3
18,5,0,0,2,0,0,0,4,4,2,0,5,5,0,0,0,0,1,4,0,2,3
19,3,0,0,2,2,0,0,3,5,0,0,4,5,0,0,0,0,0,4,0,0,3
20,5,0,0,0,2,0,0,3,4,0,0,5,5,0,2,0,0,0,3,0,0,3
21,5,0,0,2,0,0,0,4,5,1,0,5,5,0,4,0,0,0,3,0,2,1
22,4,1,0,0,1,0,0,4,5,2,0,5,5,0,0,0,0,0,4,0,0,4
23,5,0,0,1,2,0,0,4,5,0,0,4,5,0,5,0,0,1,3,0,1,4
