random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
2,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
3,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
4,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
5,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
6,5,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
7,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
8,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
9,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
10,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
11,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
12,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
13,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
14,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
15,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
16,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
17,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
18,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
19,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
20,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
21,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
22,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
23,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
24,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
25,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
26,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
27,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
28,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
29,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
30,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
31,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
32,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
33,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
34,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
35,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
36,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
37,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
38,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
39,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
40,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
41,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
42,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
43,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
44,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
45,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
46,5,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
47,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
48,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
49,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
50,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
51,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
52,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
53,5,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
54,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
55,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
56,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
57,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
58,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
59,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
60,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
61,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
62,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
63,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
64,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
65,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
66,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
67,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
68,5,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
69,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
70,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
71,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
72,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
73,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
74,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
75,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
76,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
77,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
78,5,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
79,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
80,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
81,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
82,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
83,5,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
84,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
85,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
86,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
87,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
88,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
89,4,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
90,5,5,0,4,3,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
91,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
92,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
93,4,5,0,4,1,0,0,3,5,0,0,5,0,0,4,4,5,4,3,0,2,4
