persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,2,1,4,1,0,0,4,1,1,0,1,2,5,2,1,2,1,4,2,2,4,1
2855,2,1,5,0,1,3,3,1,2,1,0,1,4,1,1,2,2,4,2,0,1,1
2948,1,0,4,0,1,2,4,1,1,1,2,2,4,1,1,1,1,3,1,0,0,1
3912,1,0,4,2,1,1,4,0,1,1,0,1,5,0,0,1,0,4,1,0,4,1
5030,0,1,4,1,1,1,0,1,2,1,0,0,5,1,2,1,1,4,2,0,1,1
5280,1,1,4,0,1,4,4,1,1,2,2,2,4,1,1,1,0,4,2,1,3,1
5312,0,1,0,1,2,1,4,2,1,2,0,1,3,0,1,1,0,4,1,1,3,0
5514,1,1,5,2,1,4,4,1,0,1,0,1,4,0,1,2,1,4,1,0,4,2
5686,1,0,5,2,0,4,4,1,0,1,1,0,4,1,1,1,0,3,1,1,4,0
6851,2,0,3,2,2,2,4,1,0,1,0,1,4,1,1,1,0,4,2,1,4,1
7086,0,1,4,1,2,4,4,2,1,1,1,2,4,0,1,1,0,4,2,1,4,1
8257,1,1,4,1,1,2,2,1,1,1,0,1,5,1,1,2,1,5,2,0,1,2
8864,1,0,3,1,1,0,3,1,2,1,2,1,5,2,1,1,2,4,1,0,1,1
8927,1,1,3,1,1,1,4,1,0,1,0,2,4,1,1,2,1,5,2,2,4,1
10169,1,0,5,2,0,4,3,1,2,1,1,1,4,0,2,2,2,4,1,2,1,0
10219,1,1,4,1,1,1,4,1,1,1,1,1,4,0,2,1,1,4,1,1,1,1
10648,2,0,4,1,1,4,4,1,1,1,0,1,4,0,2,1,0,4,1,0,4,1
11938,2,5,4,1,1,4,3,2,2,1,1,1,4,2,1,1,1,4,1,2,4,1
14464,0,1,0,1,0,1,4,1,0,1,0,1,5,1,1,1,0,3,0,0,1,1
14557,1,1,5,1,2,2,4,2,1,1,1,1,4,1,1,1,1,4,2,1,1,0
14854,2,2,4,2,1,1,2,2,1,1,0,1,4,1,1,2,0,4,1,0,2,0
15010,1,0,5,1,1,2,4,1,1,1,1,1,5,2,1,1,1,4,2,0,2,1
16216,2,0,0,1,1,4,4,1,2,1,1,1,4,2,1,1,1,4,2,0,4,1
16589,2,1,4,1,2,3,3,1,1,1,1,4,4,1,1,2,1,4,1,1,0,1
17412,2,1,3,0,0,2,3,0,2,1,0,0,4,1,1,1,0,3,0,1,3,1
17784,1,0,5,1,1,1,4,1,2,1,2,2,3,2,1,2,1,3,2,1,1,1
18323,1,2,4,1,1,4,4,1,2,2,1,1,4,2,2,1,2,4,2,1,0,1
18474,1,1,4,2,1,1,4,1,0,1,1,1,4,2,2,1,1,5,1,0,1,1
19067,1,2,4,2,1,2,3,2,1,2,1,1,3,0,2,1,1,4,2,0,4,1
19776,0,0,4,1,1,4,4,1,0,1,1,1,5,2,0,1,1,4,1,0,4,2
20359,0,2,4,1,0,4,4,1,1,2,1,1,4,1,1,2,1,3,0,2,4,1
20529,2,1,4,1,0,1,3,1,0,1,1,2,5,1,1,1,0,5,1,0,2,1
20860,2,1,3,1,2,3,4,1,2,0,1,1,5,0,2,0,1,4,1,0,1,2
21427,1,1,4,1,2,2,3,1,1,1,1,0,5,0,0,2,1,5,2,0,2,2
22745,1,0,3,0,2,3,4,1,1,1,1,1,4,2,1,1,1,3,2,1,2,2
23193,0,1,4,2,1,4,3,1,1,1,1,1,4,1,1,1,0,5,1,1,1,1
23512,2,1,4,2,1,3,3,1,1,1,2,2,3,1,1,1,1,4,2,0,1,1
24776,1,1,4,1,1,1,3,1,1,0,1,1,5,0,0,1,0,4,1,0,4,2
25818,1,1,5,1,1,4,3,2,1,2,1,1,5,1,1,1,1,3,1,0,4,1
28600,0,2,4,2,1,4,4,1,2,2,1,1,4,1,1,0,1,4,1,0,1,0
28692,2,1,5,1,0,2,3,1,0,0,1,2,5,0,0,1,1,3,2,0,1,3
30625,1,1,4,1,2,3,3,1,1,1,1,2,4,2,1,1,1,3,1,1,4,0
30973,1,2,5,2,2,2,4,2,1,0,1,2,4,2,1,0,0,4,2,1,4,2
32146,1,1,3,2,2,4,3,0,1,1,1,1,5,2,2,1,0,4,0,1,1,2
32281,1,2,5,1,1,4,3,1,1,0,0,2,5,0,1,1,0,4,1,0,4,2
32302,1,0,5,1,1,4,5,2,1,0,0,1,5,0,1,2,1,5,1,1,4,2
33110,1,2,4,2,2,1,3,1,1,2,1,2,4,1,2,2,1,3,1,1,4,1
33429,1,1,4,1,1,3,4,2,1,2,2,1,3,1,1,1,1,4,1,1,3,2
34126,1,1,4,2,1,2,4,2,1,2,1,1,4,1,1,1,2,4,2,1,2,1
35074,2,0,4,1,2,3,4,1,2,2,1,0,5,0,2,2,0,4,1,0,4,1
35440,2,0,5,1,0,3,4,1,2,1,1,2,4,0,1,2,1,3,1,0,1,2
37306,1,2,3,2,1,4,4,1,1,2,1,1,4,0,2,0,0,5,1,1,1,1
38004,2,2,3,1,0,4,4,1,2,1,1,1,4,0,2,0,1,4,1,1,4,2
38324,2,1,5,2,0,4,4,1,1,0,0,1,4,0,0,1,2,4,2,0,1,0
38405,2,1,3,1,1,3,4,1,1,1,1,1,4,1,0,1,1,3,1,2,4,1
40500,1,1,4,0,1,0,4,2,2,0,1,1,3,1,2,1,2,4,2,0,2,1
41140,0,1,4,1,1,0,4,1,2,2,1,1,4,1,2,1,1,3,1,1,4,1
