random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,0,0,2,1,1,2,0,1,1,0,0,5,1,0,0,0,4,2,0,1,0
2,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
3,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,3,2,0,1,2
4,0,0,2,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,2,2
5,0,0,4,1,1,2,2,1,1,1,0,1,4,1,1,0,0,4,1,0,2,1
6,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
7,0,0,0,2,1,2,2,2,1,2,0,0,5,1,1,0,0,4,2,0,1,2
8,0,0,2,3,1,2,2,2,1,3,0,0,5,1,0,0,0,2,2,0,2,2
9,0,0,2,2,1,2,2,2,0,2,0,0,5,0,0,0,0,2,2,0,2,0
10,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,2,2,0,1,2
11,0,0,2,1,1,2,2,1,1,1,0,0,5,1,0,0,0,2,2,0,1,0
12,0,0,0,2,1,2,2,2,1,1,0,0,5,1,0,0,0,4,2,0,1,2
13,0,0,0,2,1,2,2,0,0,2,0,0,5,1,0,0,0,5,2,0,1,0
14,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
15,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,2,2,0,1,2
16,0,0,0,2,1,1,2,2,0,2,0,0,5,1,0,0,0,5,2,0,1,0
17,2,0,0,2,1,2,2,2,2,2,0,2,5,1,2,2,0,2,2,0,2,2
18,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,4,2,0,1,2
19,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,5,2,0,1,0
20,0,0,1,2,1,1,1,2,0,2,0,0,5,1,0,0,0,2,2,0,1,2
21,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
22,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,3,2,0,1,2
23,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,5,2,0,1,2
24,0,0,0,2,1,2,2,0,0,2,0,0,5,1,0,0,0,2,2,0,2,0
25,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,2,2,0,1,2
26,0,0,0,2,1,1,2,0,1,1,0,0,5,1,0,0,0,4,2,0,1,0
27,0,0,2,2,1,2,2,2,1,2,0,0,4,1,1,0,0,2,2,0,2,2
28,0,0,0,2,1,2,3,2,2,2,0,2,5,1,2,0,0,3,2,0,1,2
29,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,4,2,0,1,2
30,0,0,0,1,1,2,2,0,1,1,0,0,5,1,0,0,0,4,0,0,1,0
31,0,0,2,2,1,2,2,2,1,1,0,0,5,1,0,0,0,2,2,0,1,2
32,0,0,0,2,1,1,3,2,1,2,0,2,5,1,2,2,0,3,2,0,1,2
33,0,0,0,2,1,2,2,0,0,2,0,0,5,1,0,0,0,5,0,0,1,0
34,0,0,0,2,1,1,2,2,1,2,0,1,4,1,1,1,0,4,2,1,1,2
35,0,0,0,2,1,2,2,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0
36,0,0,0,1,1,1,2,0,1,1,0,0,5,1,0,0,0,4,2,0,1,0
37,0,0,2,2,1,2,2,2,1,2,0,2,4,1,1,3,0,2,2,0,2,2
38,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,2,2,0,1,2
39,0,0,0,2,1,1,2,2,0,2,0,0,5,1,0,0,0,5,2,0,1,0
40,0,0,2,2,1,2,2,0,1,2,0,0,5,1,0,0,0,2,2,0,1,0
41,0,0,0,2,1,2,2,0,0,2,0,0,5,1,0,0,0,5,2,0,1,0
42,0,0,0,2,1,1,2,0,1,1,0,0,5,1,0,0,0,4,2,0,1,0
43,0,0,0,2,1,2,2,0,0,2,0,0,5,1,0,0,0,2,2,0,2,0
44,0,0,0,2,1,2,2,2,1,2,0,0,4,1,1,0,0,4,2,0,2,2
45,0,0,0,2,1,2,2,2,2,2,0,0,5,1,2,0,0,3,2,0,1,2
46,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
47,0,0,2,2,1,2,2,2,1,1,0,0,5,1,0,0,0,2,2,0,1,2
48,0,0,0,1,1,1,2,1,1,1,0,0,4,1,1,0,0,4,2,0,1,2
49,0,0,0,2,1,1,2,0,1,2,0,0,5,1,0,0,0,4,2,0,1,0
50,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,2,2,0,2,2
51,0,0,0,2,1,1,2,0,0,2,0,0,5,0,0,0,0,5,0,0,1,0
52,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
53,0,0,0,1,1,2,2,1,1,1,0,0,4,1,1,0,0,4,2,0,1,2
54,0,0,0,2,1,2,2,0,0,2,0,0,5,0,0,0,0,2,2,0,1,0
55,0,0,0,2,1,2,2,2,1,2,0,0,4,1,1,0,0,4,2,0,1,2
56,0,0,0,2,1,1,2,2,1,2,0,0,5,1,0,0,0,3,2,0,1,2
57,0,0,0,2,1,2,2,2,0,2,0,0,5,1,0,0,0,2,2,0,1,2
58,2,0,0,2,2,2,3,2,2,2,0,2,5,1,2,2,0,3,2,0,1,2
59,0,0,0,1,1,1,2,1,1,1,0,0,5,1,0,0,0,4,2,0,1,0
60,2,0,2,2,1,2,2,2,1,2,0,2,4,1,2,2,0,2,2,0,2,2
61,0,0,2,2,2,2,2,2,2,2,0,2,5,1,2,2,0,3,2,0,2,2
62,0,0,2,2,1,2,2,2,1,2,0,0,5,1,0,0,0,4,2,0,2,2
63,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,2,2
64,0,0,2,2,1,2,2,2,1,1,0,0,5,1,0,0,0,2,2,0,1,2
65,0,0,0,2,2,1,2,2,2,2,0,0,5,1,2,0,0,2,2,0,1,2
66,0,0,5,2,0,2,2,0,0,0,0,0,5,0,0,0,0,5,0,0,1,0
67,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,2,2
68,0,0,0,2,1,2,3,2,0,2,0,0,5,1,0,0,0,3,2,0,1,2
69,0,0,0,2,1,0,2,2,1,2,0,0,5,1,0,0,0,4,2,0,1,2
70,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,2,2
71,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,2,2
72,2,0,0,2,1,2,3,2,1,2,0,2,4,1,1,2,0,4,2,0,1,2
73,0,0,2,2,1,2,2,2,1,2,0,0,5,1,2,0,0,2,2,0,2,2
74,0,0,0,2,1,1,3,2,0,2,0,0,5,0,0,0,0,3,2,0,1,2
75,0,0,0,2,1,2,2,2,1,1,0,0,5,1,0,0,0,4,2,0,1,0
76,0,0,0,2,1,2,2,2,1,2,0,0,5,1,1,0,0,2,2,0,1,2
77,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
78,0,0,0,2,1,1,2,2,1,2,0,0,4,1,1,0,0,4,2,0,1,2
79,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
80,0,0,2,2,1,2,2,2,1,1,0,0,4,1,1,0,0,2,2,0,2,2
81,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
82,0,0,2,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
83,0,0,2,3,1,2,2,3,1,3,0,0,4,1,1,0,0,2,3,0,2,3
84,0,0,2,2,2,2,2,2,0,2,0,0,5,0,0,0,0,3,2,0,1,2
85,0,0,2,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,2,2
86,0,0,0,2,1,2,2,2,1,2,0,0,5,1,0,0,0,2,2,0,1,2
