random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,1,4,1,1,1,4,2,1,1,1,2,5,2,1,1,0,4,1,1,2,1
2,1,1,4,1,1,1,4,1,2,1,1,2,4,1,2,1,2,3,2,2,2,1
3,2,0,4,2,1,4,3,1,1,2,1,1,4,1,1,2,2,4,1,0,1,2
4,1,1,4,2,1,4,2,2,1,2,1,1,4,1,1,2,1,3,1,2,2,1
5,1,2,3,1,2,2,4,1,1,1,1,1,4,2,2,1,1,4,1,1,1,1
6,1,0,3,2,2,1,4,1,2,2,1,2,4,1,1,1,1,3,1,1,2,2
7,1,1,4,1,1,0,4,1,1,1,1,1,4,1,1,1,1,3,1,1,4,1
8,0,0,4,2,1,2,2,2,1,2,1,1,4,2,1,1,1,2,1,1,1,0
9,0,2,2,1,1,2,0,1,1,2,1,1,3,1,2,1,2,4,2,2,1,0
10,2,1,3,1,2,2,4,2,1,1,2,1,4,1,1,2,2,4,2,1,2,2
11,2,0,3,1,1,2,4,2,1,1,1,1,4,2,1,2,1,4,2,1,1,1
12,1,1,4,2,1,4,4,1,2,1,1,1,5,1,1,0,1,4,1,1,4,1
13,1,1,4,2,2,1,4,0,1,2,2,1,4,1,1,1,2,4,0,1,4,2
14,1,2,4,1,1,2,3,1,2,2,2,2,4,1,2,1,1,4,1,1,1,2
15,2,1,4,2,2,2,4,1,1,1,2,2,4,1,1,2,1,4,1,2,1,2
16,1,1,4,2,2,1,4,2,1,0,2,1,4,1,1,1,1,4,1,1,1,1
17,2,1,4,1,1,3,3,1,1,2,2,1,4,1,1,1,0,4,1,1,2,1
18,1,0,5,1,1,2,4,2,2,1,1,1,4,1,1,1,1,4,2,1,4,1
19,0,1,3,2,1,2,3,2,1,1,0,0,4,1,2,2,1,4,1,1,4,1
20,1,1,3,1,2,1,1,2,1,0,1,1,3,1,2,2,2,3,2,1,1,2
21,0,2,4,1,2,2,4,2,1,2,1,1,3,0,1,2,1,4,2,2,2,1
22,2,1,4,1,1,1,4,1,2,1,1,2,4,1,1,1,1,3,1,2,2,2
23,2,1,3,2,0,1,4,1,2,1,1,1,4,2,2,1,1,4,1,1,1,1
24,2,1,4,1,1,4,3,1,2,1,1,2,4,1,1,1,2,4,2,2,2,0
25,2,0,3,1,1,1,4,2,2,1,1,1,5,2,0,2,1,4,1,2,1,2
26,2,1,4,2,1,1,4,1,1,1,2,1,4,1,1,2,1,4,1,1,1,1
27,2,1,3,1,1,2,4,1,2,2,1,2,5,2,2,2,1,4,2,1,3,1
28,2,2,4,2,2,1,4,1,2,1,1,1,5,1,2,1,0,3,1,0,1,1
29,1,1,3,1,1,1,3,2,2,1,1,1,4,2,1,2,1,4,2,0,4,1
30,1,0,4,2,1,4,4,1,1,0,1,1,4,1,1,1,0,4,2,0,1,2
31,2,0,4,1,1,1,2,1,1,1,1,1,3,0,2,1,1,4,1,1,2,1
32,2,1,4,2,1,3,4,1,0,1,2,2,5,2,2,2,1,4,1,2,4,2
33,1,2,4,1,2,2,4,0,2,1,1,1,4,1,1,2,1,4,1,1,1,2
34,1,1,4,1,1,1,3,1,1,1,0,1,4,1,1,2,1,4,2,1,4,2
35,2,1,3,1,2,2,4,2,1,2,1,1,4,1,2,1,2,4,1,0,2,2
36,2,1,4,2,2,2,4,1,1,2,1,2,5,0,1,1,1,3,1,1,1,2
37,1,1,4,1,2,2,2,2,1,1,2,1,5,2,1,2,2,4,1,1,3,2
38,0,0,4,2,1,2,4,2,1,2,1,1,4,1,1,1,1,3,2,1,4,1
39,1,2,3,2,1,2,3,2,1,1,0,2,4,1,1,2,2,4,1,2,1,2
40,1,1,5,1,1,1,4,2,1,2,1,1,4,2,2,2,1,4,2,1,1,1
41,1,2,4,1,1,1,4,2,2,2,1,1,5,1,2,1,0,3,0,1,4,2
42,2,2,3,2,1,1,4,1,0,1,0,1,4,1,0,1,1,4,1,1,1,1
43,1,2,4,2,1,1,4,1,0,2,1,0,4,1,2,1,2,4,2,1,5,1
44,1,1,0,2,2,2,4,1,1,1,2,2,4,1,1,1,1,3,2,2,4,1
45,1,1,4,1,1,2,4,1,1,2,1,1,4,2,2,2,1,4,1,1,1,2
46,1,0,3,2,2,1,3,1,2,1,0,1,3,1,1,2,2,4,1,1,2,1
47,1,1,4,1,1,1,4,1,2,1,1,2,5,1,2,1,1,4,1,1,1,2
48,2,1,4,1,2,1,4,2,1,2,1,1,3,1,1,2,1,4,2,1,4,2
49,2,1,4,1,2,4,4,1,2,1,1,2,4,2,2,1,1,3,2,1,0,2
50,1,1,3,2,2,2,4,1,1,1,1,1,3,1,1,1,1,4,2,2,4,1
51,2,1,4,2,1,1,3,1,1,2,1,2,4,2,2,2,2,4,1,1,1,1
52,2,1,4,2,1,1,4,2,1,1,2,1,5,2,1,1,2,3,2,1,4,2
53,1,2,4,1,1,1,4,1,1,1,1,1,4,1,1,1,1,3,1,2,2,2
54,0,1,4,2,1,2,2,2,1,2,0,1,4,1,0,2,0,3,2,2,2,1
55,1,1,4,2,1,2,1,1,2,2,1,2,4,1,1,2,1,4,1,1,1,2
56,2,0,0,2,2,1,4,1,1,2,2,1,4,2,2,1,1,4,2,1,1,1
57,2,2,4,1,1,2,4,2,1,1,1,1,4,1,1,1,1,3,1,1,1,1
58,1,1,4,2,2,1,3,1,1,1,2,1,4,2,1,1,1,4,2,1,2,2
59,1,1,4,1,1,4,4,1,1,2,1,2,5,2,1,1,0,4,2,0,4,2
60,2,1,3,1,1,2,4,1,1,2,1,1,4,2,1,1,1,4,2,1,1,2
61,1,1,4,2,2,1,4,2,1,2,2,2,5,1,1,1,2,3,1,1,1,1
62,2,1,4,1,2,2,4,1,1,2,1,1,4,1,1,2,1,4,2,1,4,2
63,2,1,4,1,1,1,4,2,1,1,1,1,4,1,2,0,1,4,1,2,1,2
64,1,1,4,1,1,4,4,2,1,1,2,2,5,1,1,1,1,4,1,0,4,1
65,1,1,4,2,1,1,2,1,2,1,2,1,3,2,2,2,1,4,2,1,1,1
66,1,0,4,2,0,4,3,2,1,1,1,2,3,1,1,1,1,4,1,2,4,1
67,1,1,4,2,0,2,4,1,1,2,1,1,4,1,1,1,2,3,1,0,1,2
68,1,1,3,2,1,4,4,1,0,2,1,2,5,1,1,1,2,4,1,1,2,2
