random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,1,2,4,1,1,2,2,4,0,0,3,4,1,0,0,0,2,3,0,2,3
2,2,1,3,3,2,1,2,2,4,0,0,3,4,1,0,0,0,2,2,0,2,3
3,2,1,3,3,2,1,2,2,3,0,0,3,2,1,0,2,0,2,2,0,2,2
4,2,3,2,3,2,2,2,3,3,0,0,3,2,1,0,3,2,2,3,0,2,3
5,1,1,4,3,1,1,2,1,3,0,0,3,4,1,0,1,1,4,3,0,2,3
6,2,1,3,3,2,1,2,2,3,0,0,3,4,1,0,2,2,2,2,0,2,3
7,2,1,3,3,2,1,2,2,3,0,0,3,4,1,0,2,1,2,2,0,2,2
8,0,1,2,3,1,2,2,3,3,0,0,3,2,1,0,3,0,2,3,0,2,3
9,0,3,2,3,2,2,2,3,3,0,0,3,2,1,0,3,0,2,3,0,2,3
10,2,1,3,3,2,1,2,2,4,0,0,3,2,1,0,2,0,2,2,0,2,3
11,1,1,2,3,1,1,2,3,4,0,0,3,2,1,0,3,1,2,3,0,2,3
12,1,1,2,3,1,1,2,2,4,0,0,3,4,1,0,0,1,2,3,0,2,3
13,0,1,3,4,2,1,2,2,4,0,0,3,4,1,0,0,0,2,2,0,2,3
14,2,1,3,3,2,1,2,2,3,0,0,3,2,1,0,2,2,2,2,0,2,3
15,2,1,3,3,2,1,2,2,4,0,0,3,2,1,0,0,0,2,2,0,2,3
16,0,1,3,4,2,1,2,2,4,0,0,3,4,1,0,0,0,2,2,0,2,3
17,2,1,3,3,2,2,2,2,3,0,0,3,2,1,0,2,2,2,2,0,2,3
18,2,1,3,3,2,1,2,2,3,0,0,3,4,1,0,0,0,2,2,0,2,3
19,0,1,3,3,2,1,2,2,4,0,0,3,2,1,0,0,0,2,2,0,2,3
20,2,1,1,4,2,1,1,2,4,0,0,4,1,1,0,0,0,2,2,0,1,3
21,2,1,2,3,2,1,2,3,4,0,0,3,2,1,0,3,0,2,3,0,2,3
22,2,1,3,3,2,1,2,2,5,0,0,3,2,1,0,2,2,2,2,0,2,3
23,2,1,3,3,2,1,2,2,3,0,0,3,4,1,0,0,0,2,2,0,2,3
24,0,1,2,3,2,1,2,2,3,0,0,3,2,1,0,0,0,2,3,0,2,3
25,2,1,2,3,2,1,2,3,3,0,0,3,2,1,0,3,0,2,3,0,2,3
26,0,1,2,4,1,1,2,2,4,0,0,3,4,1,0,0,0,2,3,0,2,3
27,2,1,2,3,2,2,2,3,3,0,0,3,2,1,0,3,1,2,3,0,2,3
28,2,2,3,3,2,1,2,2,4,0,0,2,3,1,0,2,2,3,2,0,2,2
29,2,1,3,3,1,1,2,2,4,0,0,3,4,1,0,2,1,2,2,0,2,3
30,0,1,2,3,1,1,2,2,3,0,0,3,4,1,0,0,0,2,3,0,2,3
31,0,1,2,3,1,1,2,3,3,0,0,3,2,1,0,3,0,2,3,0,2,3
32,2,1,3,4,2,1,2,2,4,0,0,2,4,1,0,2,2,3,2,0,2,2
