persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,1,1,2,2,2,0,0,0,1,2,1,1,4,2,2,1,0,4,1,1,1,1
2855,1,1,4,1,1,0,0,0,5,1,1,1,5,1,1,0,0,3,1,2,2,0
2948,1,2,0,2,1,1,0,1,1,1,3,1,3,0,1,1,2,3,1,2,0,2
3912,0,1,2,1,1,1,0,0,0,1,1,1,5,2,0,1,1,3,0,1,1,1
5030,2,2,1,2,1,0,1,2,3,1,1,2,3,2,1,2,1,4,2,1,0,2
5280,1,2,2,1,2,0,0,2,5,0,2,1,4,2,2,1,0,4,1,1,2,1
5312,1,1,5,1,1,2,0,1,3,1,1,1,3,2,1,2,1,4,1,1,3,1
5514,2,1,2,2,1,0,0,2,3,2,1,2,3,1,0,1,1,3,2,1,0,1
5686,2,2,5,3,1,1,1,0,0,1,2,2,4,1,2,2,0,4,1,2,1,1
6851,1,2,2,2,2,1,0,0,2,2,2,1,3,1,1,0,2,5,1,1,1,1
7086,0,1,3,2,2,2,0,2,0,2,2,1,5,1,2,1,1,4,1,1,4,1
8257,2,1,5,1,1,0,0,0,3,1,1,0,5,1,1,2,1,4,1,1,0,2
8864,1,2,1,3,1,0,2,0,3,1,1,2,4,1,2,2,1,4,1,1,1,2
8927,1,1,2,3,2,0,0,2,3,2,2,2,5,2,2,1,0,4,1,1,0,1
10169,1,1,1,1,1,1,1,1,2,1,1,1,4,2,1,1,2,3,2,2,1,1
10219,1,2,2,2,1,1,0,2,3,3,1,2,3,1,2,1,1,2,1,2,1,2
10648,1,1,2,2,1,1,0,1,3,2,0,1,5,1,2,2,1,3,1,0,4,2
11938,3,1,2,1,2,1,1,2,5,1,1,1,4,2,1,1,1,4,2,1,4,1
14464,2,0,4,1,1,5,0,1,1,2,1,0,5,1,1,0,1,3,1,1,5,0
14557,1,2,2,3,2,1,1,1,4,1,1,3,5,2,2,1,1,3,1,2,1,1
14854,0,2,4,2,1,0,0,2,3,1,1,0,5,0,0,1,1,4,1,1,1,2
