persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,0,0,5,4,0,0,0,0,3,0,0,0,5,1,0,3,0,2,1,0,2,1
2855,0,3,5,3,0,0,0,0,5,0,0,3,5,0,0,3,0,5,0,0,5,0
2948,0,3,2,4,0,0,0,0,3,0,0,3,5,2,1,3,0,2,2,0,2,1
3912,0,3,5,4,0,2,0,0,3,0,0,0,5,0,0,3,0,2,0,0,2,0
5030,0,3,2,4,0,0,0,2,4,0,2,3,5,2,2,3,1,2,2,0,2,2
5280,0,3,4,4,0,0,0,0,3,0,0,3,5,2,2,3,1,2,2,0,4,2
5312,0,3,2,4,3,1,1,0,3,0,0,3,5,3,0,3,1,2,1,0,4,1
5514,0,3,2,4,0,2,0,1,3,0,0,3,5,2,3,3,0,2,2,0,2,1
5686,0,3,2,4,0,0,0,0,0,0,0,3,5,3,0,3,0,2,0,0,2,1
6851,0,0,5,5,0,0,0,0,3,0,0,0,5,1,0,3,0,5,0,0,2,0
7086,0,3,5,4,0,2,0,0,3,0,0,0,5,0,0,3,0,5,0,0,5,0
8257,0,3,2,5,0,0,0,0,3,0,0,3,5,3,0,3,0,2,2,0,2,1
8864,1,3,2,4,0,0,1,1,3,0,2,3,5,2,3,3,1,2,2,0,2,2
8927,1,3,2,4,0,0,1,3,3,0,3,3,5,3,3,3,1,2,2,0,2,1
10169,1,3,2,4,0,0,1,0,3,0,1,2,5,2,0,3,0,2,1,0,3,1
10219,0,3,2,4,0,0,1,2,3,0,0,3,5,3,3,3,1,2,2,0,2,1
10648,0,0,2,3,0,0,0,0,3,0,0,3,2,2,3,3,0,2,0,0,5,0
11938,0,3,5,3,0,2,1,0,3,0,0,3,5,0,0,3,0,2,0,0,5,0
14464,0,0,5,5,0,5,5,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0
14557,1,3,2,4,2,0,0,3,3,0,3,3,5,3,3,3,1,2,2,0,2,3
14854,0,3,2,4,0,0,0,0,3,0,1,3,5,2,0,3,0,5,1,0,2,1
15010,0,3,2,5,0,0,0,0,5,0,0,3,5,3,0,3,0,5,2,0,2,0
16216,1,1,5,4,0,1,1,1,1,0,1,1,4,1,1,1,1,4,1,1,4,1
16589,0,0,5,5,0,0,0,0,5,0,0,5,5,0,0,3,5,5,0,0,5,0
17412,1,3,2,4,3,2,1,1,3,0,0,3,2,3,2,3,1,2,2,0,4,2
17784,1,3,5,4,3,1,1,1,3,0,0,3,5,3,1,3,3,2,2,0,3,1
18323,0,3,2,4,0,0,0,0,3,0,0,3,5,3,1,3,3,5,2,0,2,1
18474,0,3,4,5,0,0,0,0,3,0,0,3,5,3,0,3,0,2,1,0,3,1
19067,0,0,2,4,0,0,0,0,3,0,0,3,5,0,0,3,0,2,0,0,5,0
19776,0,0,5,5,0,5,0,0,0,0,0,0,5,0,0,3,0,5,0,0,5,0
20359,0,3,0,4,0,0,0,0,3,0,0,3,5,2,1,3,3,2,2,0,4,0
20529,0,3,2,4,0,0,0,2,3,0,2,3,5,2,2,3,3,2,2,0,3,1
