persona_id,1,2,3,4,5,6,7,8
282,2,3,2,2,3,3,2,3
2855,2,2,2,3,3,3,2,3
2948,2,2,2,2,3,3,2,3
3912,2,2,2,2,3,3,2,3
5030,2,2,2,3,3,3,2,3
5280,2,2,2,3,3,3,2,3
5312,2,3,2,2,2,3,2,2
5514,2,2,2,2,3,3,2,3
5686,2,2,2,2,3,3,2,3
6851,2,2,2,2,2,3,2,2
7086,2,2,2,3,3,3,2,3
8257,2,2,2,2,3,3,2,3
8864,2,2,2,3,3,3,2,3
8927,2,2,2,3,3,3,2,3
10169,2,2,2,2,2,2,2,2
10219,2,2,2,2,3,3,2,3
10648,2,3,3,3,3,3,3,3
11938,2,3,2,2,3,3,2,2
14464,1,5,1,1,2,1,4,1
14557,2,2,2,3,3,3,2,3
14854,2,2,2,3,3,3,2,3
15010,2,2,2,2,3,3,2,3
16216,1,3,2,1,2,2,2,2
16589,2,1,2,2,2,4,1,2
17412,2,2,2,3,3,3,2,3
17784,2,2,2,3,3,3,2,3
18323,2,2,2,2,3,3,2,3
18474,2,2,2,2,3,3,2,3
19067,2,2,2,3,3,3,3,3
19776,1,1,1,1,1,1,5,1
20359,2,1,2,2,3,2,2,3
20529,2,2,2,2,3,3,2,3
20860,2,2,2,2,3,3,2,3
21427,2,2,2,3,3,3,2,3
22745,2,2,2,2,3,3,1,3
23193,2,2,2,3,3,3,2,3
23512,2,3,2,3,3,3,2,3
24776,2,1,2,2,3,3,2,3
25818,2,2,2,2,3,3,1,3
28600,2,2,2,3,3,3,2,3
28692,2,2,2,2,2,2,2,3
30625,2,2,2,2,2,3,2,3
30973,2,2,2,2,3,3,2,3
32146,2,3,2,3,3,3,3,3
32281,2,2,2,3,3,3,2,3
32302,1,2,2,2,2,3,2,2
33110,2,2,2,3,3,3,2,3
33429,2,2,2,2,3,3,2,3
34126,2,2,2,2,3,3,2,3
35074,2,2,2,3,3,3,2,3
35440,2,2,2,2,3,3,2,3
37306,2,2,2,2,2,3,2,3
38004,2,2,2,2,3,3,2,3
38324,2,2,2,2,3,3,2,3
38405,2,3,2,2,3,3,3,3
40500,2,3,2,2,3,3,3,3
41140,2,2,2,2,3,3,2,3
43244,2,3,2,3,3,3,2,3
43526,2,1,2,2,3,4,1,3
44957,2,2,2,2,3,3,2,3
44963,2,2,2,2,3,3,2,3
45423,2,2,2,3,3,3,2,3
45856,2,2,2,3,3,3,3,3
46591,2,2,2,2,3,3,2,3
46790,2,2,2,2,2,3,2,3
47369,2,3,2,2,3,3,3,3
48405,2,2,2,2,2,3,2,3
48545,2,2,2,2,3,3,2,3
50492,2,2,2,2,3,3,2,3
50747,2,1,2,2,4,4,2,2
50839,2,2,2,2,3,2,2,3
51881,2,2,2,2,3,3,2,3
52313,2,2,2,2,3,3,2,3
52497,2,2,2,2,3,3,2,3
53252,2,3,2,3,3,3,3,3
54658,2,4,2,2,2,3,2,2
56726,2,2,2,2,3,3,2,3
56808,2,2,2,2,3,4,2,3
57829,2,2,2,2,3,3,1,3
58267,2,2,2,2,3,3,2,3
58290,2,2,2,2,3,3,2,3
58412,2,3,2,3,3,3,3,3
58838,2,2,2,2,3,3,1,3
59059,2,2,2,3,3,3,2,3
60046,2,3,2,2,3,3,2,3
61007,2,2,2,2,3,3,2,3
61594,2,2,2,2,3,3,1,3
62283,2,2,2,2,3,3,2,3
62555,2,2,2,2,3,3,2,3
63796,2,2,2,2,3,3,2,3
63866,2,2,2,3,3,4,2,3
64924,1,2,2,2,3,3,2,3
65237,2,2,2,2,3,3,2,3
65380,2,2,2,3,3,3,2,3
65648,2,2,2,2,3,3,2,3
65835,2,2,2,2,2,3,2,3
65917,2,3,2,3,3,3,3,3
66045,2,2,2,2,2,2,2,2
66750,2,2,2,2,3,3,1,3
67977,2,2,2,2,3,3,2,3
68097,2,2,2,2,2,3,2,3
68833,2,2,2,2,3,3,2,3
69531,2,2,2,2,3,2,2,3
69851,2,2,2,2,3,3,2,3
69956,2,1,2,2,3,4,1,3
71245,2,2,2,3,3,3,2,3
71337,2,2,2,2,3,3,3,3
71674,2,2,2,3,3,3,2,3
71967,2,2,2,2,3,4,2,3
75220,2,2,2,2,3,3,1,3
75626,2,2,2,2,3,3,2,3
75859,2,2,2,3,3,3,2,3
76421,2,4,2,2,2,2,4,2
76660,2,2,2,2,3,3,2,3
77188,2,3,2,2,3,3,2,2
77440,2,3,2,3,3,3,2,3
77493,1,3,2,2,3,2,2,3
78152,2,2,2,2,3,3,2,3
78625,2,2,2,3,3,3,3,3
79218,2,2,2,3,3,3,2,3
79513,2,2,2,2,3,3,2,3
79628,2,2,2,2,3,3,2,3
79990,2,1,2,2,3,3,1,2
81383,2,2,2,2,2,3,2,3
81674,2,2,2,2,2,3,2,2
81777,2,2,2,3,3,3,2,3
82166,2,2,2,2,3,3,2,3
82569,2,2,2,2,3,3,2,3
83090,1,2,2,2,2,3,2,3
83215,2,2,2,2,3,3,2,3
83380,2,2,2,2,2,3,2,3
85049,1,3,2,2,2,2,2,2
85519,1,3,2,2,2,3,3,2
86879,3,3,2,3,3,3,3,3
87201,2,4,2,3,2,3,3,3
87232,2,2,2,2,3,3,2,3
