random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,0,0,2,0,0,1,0,3,0,0,2,5,1,0,1,0,2,0,0,2,1
2,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
3,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
4,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
5,0,0,0,3,0,0,0,0,3,0,0,2,5,0,3,1,0,2,0,0,2,0
6,0,0,0,3,0,0,0,0,3,3,0,2,5,0,3,0,0,2,0,0,2,0
7,0,0,0,2,0,0,1,0,3,0,0,2,5,1,0,1,0,2,0,0,2,1
8,0,0,0,2,0,0,0,0,3,3,0,2,5,1,3,1,0,2,2,0,2,1
9,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
10,0,0,0,3,0,0,0,0,3,3,0,2,5,1,3,1,0,2,2,0,2,1
11,0,0,0,3,0,0,1,0,3,3,0,2,5,1,3,1,0,2,0,0,2,1
12,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
13,0,0,0,3,0,0,0,0,3,3,0,2,5,0,3,1,0,2,0,0,2,0
14,0,0,0,3,0,0,1,0,3,0,0,2,5,0,3,1,0,2,0,0,2,0
15,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
16,0,0,0,3,0,0,0,0,3,3,0,2,5,0,3,0,0,2,0,0,2,0
17,0,0,0,3,0,0,1,0,3,0,0,2,5,1,0,1,0,2,0,0,2,1
18,0,0,0,2,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
19,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
20,0,0,0,3,0,0,0,0,3,3,0,2,5,0,3,1,0,2,2,0,2,0
21,0,0,0,2,0,0,1,0,3,0,0,2,5,1,0,1,0,2,0,0,2,1
22,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
23,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
24,0,0,0,2,0,0,1,0,3,0,0,2,5,0,0,1,0,2,0,0,2,0
25,0,0,0,3,0,0,1,0,3,3,0,2,5,0,3,1,0,2,0,0,2,1
26,0,0,0,3,0,0,1,0,3,3,0,2,5,0,3,0,0,2,0,0,2,0
27,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
28,0,0,0,3,0,0,0,0,3,3,0,2,5,0,3,1,0,2,0,0,2,0
29,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,1,0,2,2,0,2,0
30,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
31,0,0,0,2,0,0,1,0,3,0,0,2,5,1,3,1,0,2,0,0,2,1
32,0,0,0,2,0,0,0,0,3,3,0,2,5,1,3,1,0,2,2,0,2,1
33,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
34,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,1,0,2,0,0,2,0
35,0,0,0,2,0,0,1,0,3,0,0,2,5,0,0,1,0,2,0,0,2,0
36,0,0,0,2,0,0,0,0,3,0,0,2,5,1,0,1,0,2,0,0,2,1
37,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,1,0,2,2,0,2,0
38,0,0,0,3,0,0,1,0,3,3,0,2,5,0,3,0,0,2,0,0,2,0
39,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,1,0,2,0,0,2,0
40,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
41,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
42,0,0,0,3,0,0,1,0,3,3,0,2,5,1,3,1,0,2,0,0,2,1
43,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
44,0,0,0,2,0,0,0,0,3,3,0,2,5,0,3,1,0,2,2,0,2,0
45,0,0,0,2,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
46,0,0,0,3,0,0,0,0,3,3,0,2,5,0,3,0,0,2,2,0,2,0
47,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,1,0,2,0,0,2,0
48,0,0,0,2,0,0,0,0,3,3,0,2,5,0,3,1,0,2,2,0,2,0
49,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
50,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,1,0,2,0,0,2,0
51,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
52,0,0,0,3,0,0,1,0,3,3,0,2,5,1,3,1,0,2,2,0,2,1
53,0,0,0,3,0,0,0,0,3,3,0,2,5,0,3,0,0,2,0,0,2,0
54,0,0,0,3,0,0,1,0,3,3,0,2,5,0,3,1,0,2,0,0,2,0
55,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
56,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,1,0,2,0,0,2,1
57,0,0,0,2,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
58,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,1,0,2,2,0,2,0
59,0,0,0,2,0,0,1,0,3,0,0,2,5,0,3,1,0,2,2,0,2,0
60,0,0,0,2,0,0,1,0,3,3,0,2,5,0,3,1,0,2,2,0,2,0
61,0,0,0,2,0,0,0,0,3,3,0,2,5,0,3,1,0,2,2,0,2,0
62,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,1,0,2,0,0,2,0
63,0,0,0,3,0,0,1,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
64,0,0,0,3,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,2,0
65,0,0,0,2,0,0,1,0,3,0,0,2,5,1,0,1,0,2,0,0,2,1
66,0,0,0,3,0,0,0,0,3,0,0,2,5,0,3,0,0,2,0,0,2,0
67,0,0,0,3,0,0,1,0,3,0,0,2,5,1,0,1,0,2,0,0,2,1
