random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1,1,1,2,1,1,0,1,3,1,0,2,4,2,2,2,1,4,1,1,2,1
2,2,1,1,2,2,1,0,0,4,1,2,3,3,1,1,1,1,2,1,1,2,1
3,1,0,3,3,2,0,2,1,4,2,0,3,5,2,1,1,1,3,1,1,2,2
4,2,1,2,1,1,1,1,2,3,0,2,1,5,1,1,2,2,3,1,0,1,2
5,1,1,2,2,1,0,0,1,3,1,2,1,4,1,2,1,0,2,1,1,1,1
6,2,3,0,1,2,1,0,0,3,2,1,2,4,2,2,1,1,2,0,1,2,1
7,1,1,1,2,1,2,0,1,3,1,1,1,4,2,2,1,1,4,2,2,1,1
8,2,1,0,2,1,0,0,2,3,1,1,3,4,1,1,1,1,4,2,1,2,1
9,1,2,2,2,1,1,1,0,3,1,2,2,4,2,2,1,2,4,2,1,2,0
10,2,0,2,2,2,2,0,0,3,1,0,2,3,2,2,1,0,4,1,0,1,0
11,1,1,2,2,1,0,2,1,3,2,1,1,4,1,2,2,1,3,1,2,1,1
12,0,2,2,3,2,1,0,0,3,1,1,2,3,1,1,1,0,4,2,0,2,1
13,2,2,2,2,1,0,0,0,3,0,2,2,4,2,2,1,1,4,2,2,2,0
14,1,1,2,3,2,1,0,2,4,2,1,1,4,1,2,1,0,3,2,2,1,1
15,1,2,1,3,1,1,0,1,3,1,1,2,3,1,2,2,0,3,1,0,2,2
16,0,1,1,2,1,1,0,1,4,0,0,1,3,1,1,1,1,4,2,2,2,1
17,1,1,1,1,1,0,0,1,3,1,1,2,4,2,2,1,1,4,1,1,2,1
18,2,2,1,2,1,1,0,2,3,2,1,3,5,1,1,1,0,2,1,0,1,1
19,1,1,2,1,1,1,0,0,3,1,1,2,4,0,1,2,0,2,2,1,1,1
20,1,2,2,3,1,0,0,1,3,2,1,2,3,1,1,2,0,4,2,1,2,1
21,2,1,1,2,1,1,0,1,3,1,0,1,5,1,1,1,1,4,1,0,1,0
22,1,1,0,2,1,1,1,0,3,2,1,2,5,2,2,2,2,3,1,0,1,0
23,1,2,2,1,1,0,0,1,3,1,2,1,5,1,1,2,1,4,2,0,1,1
24,1,1,4,2,1,0,0,1,3,2,2,1,3,0,2,2,1,4,1,0,1,2
25,1,2,2,2,2,2,1,1,3,1,1,1,5,1,2,1,0,4,2,2,2,2
26,1,1,0,2,1,0,2,1,3,1,1,2,4,2,1,2,1,4,2,1,2,1
27,2,2,0,2,1,0,0,1,4,2,1,2,4,1,2,2,2,4,2,2,0,1
28,1,1,0,2,1,2,0,0,3,3,0,3,3,1,1,1,0,2,1,1,2,2
29,1,1,1,1,1,1,1,2,3,2,1,2,4,2,1,2,0,2,2,1,1,2
30,1,0,2,3,1,1,0,2,3,0,1,0,4,1,0,1,0,4,3,2,2,2
31,1,1,3,1,1,1,1,1,3,1,2,2,4,3,1,1,1,2,1,1,2,1
32,2,1,2,1,1,1,0,1,3,1,1,0,3,1,2,1,2,4,2,1,2,1
33,1,1,2,3,2,2,0,0,5,0,2,2,5,2,1,2,1,3,2,0,2,1
34,1,0,0,2,1,0,0,0,3,0,1,1,4,1,1,1,1,4,1,1,2,2
35,2,2,1,2,1,1,1,2,4,1,1,2,4,1,2,1,0,4,2,0,2,1
36,1,2,0,1,2,0,1,1,5,0,1,1,4,3,1,1,2,4,1,1,2,2
37,2,1,2,2,1,0,0,1,4,2,1,0,3,1,2,2,0,2,1,0,0,1
38,1,2,2,1,2,0,0,3,3,2,2,3,5,2,2,1,1,3,2,0,2,2
39,1,1,1,1,1,1,0,1,4,1,1,1,3,1,1,2,0,2,2,0,2,2
40,0,1,2,1,1,0,0,1,3,0,0,1,4,2,0,1,0,1,2,0,1,0
41,2,1,0,1,2,1,1,3,4,2,2,2,5,1,2,2,0,4,1,2,1,2
42,1,1,4,2,1,0,1,2,3,2,1,1,5,2,1,1,1,2,0,1,2,1
43,0,1,0,2,1,0,0,1,3,2,1,2,4,1,1,1,0,2,1,1,2,1
44,1,1,0,2,1,0,0,2,3,2,1,1,4,1,2,2,1,3,2,1,2,1
45,1,1,0,2,1,1,0,2,3,2,2,2,4,1,1,2,1,2,1,1,1,1
46,1,1,2,2,2,0,0,2,5,3,0,1,4,2,3,0,2,2,3,1,1,2
47,1,0,1,1,1,1,0,1,3,1,1,1,4,2,1,2,2,4,1,0,2,0
48,2,1,2,2,1,2,1,1,3,1,1,2,3,2,1,1,2,3,2,1,2,2
49,1,2,1,2,1,1,0,0,5,3,1,2,4,3,2,1,0,3,0,1,1,2
50,1,1,2,1,1,0,1,1,3,2,2,1,4,1,1,1,1,4,1,2,1,1
51,1,1,2,2,3,0,0,1,3,1,1,1,5,1,1,1,1,4,2,0,2,1
52,1,1,2,3,1,1,1,1,3,1,1,3,4,2,3,2,1,2,2,1,1,1
53,0,1,2,2,2,1,0,3,3,1,0,1,5,1,1,1,1,2,1,1,2,2
54,1,2,2,2,2,0,1,1,3,2,1,1,4,2,1,2,2,4,2,1,1,0
55,1,1,1,2,1,0,0,1,3,1,2,1,5,1,0,2,0,4,1,0,1,1
56,0,1,0,2,1,1,1,1,3,1,1,2,5,1,2,1,1,2,1,0,1,1
57,0,1,4,1,1,1,1,0,3,2,1,2,5,1,0,1,1,4,2,1,2,1
58,2,1,1,1,1,1,0,0,3,1,0,1,5,2,2,2,1,4,2,2,2,1
59,1,0,3,2,1,1,0,2,3,2,1,3,4,1,2,2,0,4,1,1,1,2
60,0,2,0,3,1,1,0,2,3,2,1,2,4,2,2,1,1,4,2,1,2,1
61,2,2,0,1,2,0,0,2,4,1,2,2,4,1,1,1,2,4,0,0,1,1
62,1,1,2,3,2,0,1,1,3,1,1,2,4,1,2,2,1,4,1,2,1,1
63,2,1,2,2,1,0,0,1,4,0,1,2,5,1,2,1,1,4,3,0,2,1
64,1,1,2,2,2,1,0,2,5,1,2,3,5,2,1,2,2,4,2,1,1,1
65,1,1,4,1,1,1,0,1,3,0,1,1,3,1,1,2,2,3,1,0,2,1
66,1,3,0,1,1,1,0,1,4,1,0,3,3,1,1,1,0,3,1,0,2,1
67,1,1,0,1,1,0,0,2,4,1,1,1,4,1,1,1,2,3,1,0,1,0
68,2,2,1,2,2,0,1,2,3,2,2,1,4,2,2,2,0,3,2,0,2,2
69,2,0,2,1,0,0,0,1,3,1,1,2,5,0,1,1,1,4,2,2,1,1
70,2,2,2,1,2,1,0,2,3,0,1,0,4,2,1,0,1,4,2,2,0,2
71,1,1,2,2,2,1,0,0,3,1,2,1,5,1,1,2,1,4,1,0,2,1
72,1,2,0,1,1,0,0,0,4,2,0,1,5,1,2,1,0,3,0,0,0,2
73,1,2,0,1,1,1,0,1,3,1,1,1,4,1,1,1,0,2,2,1,1,1
74,3,1,1,2,1,0,0,0,3,1,1,3,5,1,2,2,0,3,1,1,2,2
75,1,2,2,1,1,0,0,2,4,2,0,1,4,3,1,2,1,2,2,2,1,1
76,2,1,2,1,1,1,0,1,3,3,1,3,4,1,1,1,1,2,2,1,1,2
77,2,2,2,1,1,2,0,1,3,2,1,2,3,2,2,2,2,4,1,1,2,2
78,1,2,1,1,1,0,1,1,4,2,1,1,3,1,1,1,1,4,2,1,2,0
79,2,0,2,1,1,0,0,2,3,1,1,2,3,1,2,1,1,4,1,0,1,1
80,1,1,2,1,2,1,0,1,3,1,1,1,3,1,1,1,0,4,2,1,2,1
81,1,2,0,1,1,2,0,2,3,2,1,1,4,2,1,2,1,3,2,1,2,2
82,1,1,2,1,1,1,1,1,4,0,1,3,4,1,3,2,1,4,1,0,1,2
83,0,2,2,1,0,0,0,1,3,3,1,2,4,2,1,1,1,2,2,2,1,2
84,2,1,2,1,2,1,0,0,3,1,1,2,4,1,2,1,1,3,2,1,1,1
85,2,1,1,2,1,0,0,1,4,1,1,2,3,1,1,1,1,4,1,1,2,1
86,2,1,2,2,2,2,0,1,3,1,2,1,4,2,2,2,0,2,2,1,2,2
87,1,1,2,1,2,1,0,1,3,1,2,2,4,2,1,0,1,4,1,1,2,1
88,1,1,1,2,3,0,0,2,3,2,1,3,3,1,1,1,1,2,1,0,1,2
89,1,2,2,1,1,1,0,2,4,2,0,2,5,1,2,2,2,3,1,1,1,2
90,2,2,2,3,2,1,0,0,5,2,3,2,3,2,2,2,2,4,2,1,2,2
91,2,1,2,1,2,1,1,0,4,2,1,3,4,2,1,1,1,4,1,1,2,1
92,2,1,0,2,0,0,0,1,3,2,1,0,3,2,2,0,1,3,2,1,1,2
93,1,2,2,1,1,0,0,1,3,2,1,1,5,2,1,2,0,3,1,1,2,1
94,1,1,0,2,2,1,0,1,3,1,1,0,3,2,2,2,1,2,2,1,2,1
