random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1,3,2,4,0,0,0,0,3,0,2,3,5,2,2,3,1,2,2,0,3,2
2,0,3,2,3,0,0,0,0,3,0,2,3,5,2,3,3,0,2,2,0,2,3
3,0,3,2,4,0,2,1,0,3,0,2,3,5,2,3,3,0,2,2,0,2,2
4,0,3,2,3,0,2,0,0,3,0,2,3,5,2,3,3,0,2,2,0,2,3
5,0,3,2,3,0,0,0,3,3,0,2,3,5,2,3,3,0,2,2,0,2,3
6,0,3,2,3,0,2,0,3,3,0,3,3,5,3,3,3,0,2,3,0,2,3
7,1,3,2,3,0,0,0,0,3,0,2,3,5,2,2,3,1,2,2,0,2,2
8,1,3,2,3,0,0,0,2,3,0,2,3,5,2,2,3,1,2,2,0,2,2
9,0,3,2,3,0,2,0,0,3,0,2,3,5,2,3,3,0,2,2,0,2,2
10,1,3,2,3,0,2,0,3,3,0,2,3,5,2,3,3,1,2,2,0,2,3
11,1,3,2,3,0,2,0,3,3,0,2,3,5,2,3,3,1,2,2,0,2,3
12,0,3,2,3,0,0,0,0,3,0,2,3,5,2,2,3,0,2,2,0,2,2
13,0,3,2,3,0,2,0,3,3,0,2,3,5,2,3,3,0,2,2,0,2,3
14,0,3,2,3,0,0,1,3,3,0,2,3,5,2,3,3,0,2,2,0,2,2
15,0,3,2,4,0,0,1,0,3,0,2,3,5,2,3,3,0,2,2,0,2,3
16,0,3,2,3,0,0,0,3,3,0,2,3,5,2,3,3,0,2,2,0,2,3
17,1,3,2,3,0,0,0,0,3,0,2,3,5,2,3,3,1,2,2,0,2,2
18,0,3,2,3,0,0,0,0,3,0,2,3,5,2,2,3,0,2,2,0,3,2
19,0,3,2,4,0,0,1,0,3,0,2,3,5,2,3,3,0,2,2,0,2,2
20,0,3,2,3,0,0,0,3,3,0,2,3,5,2,3,3,1,2,2,0,2,2
21,1,3,2,4,0,0,1,0,3,0,2,3,5,2,2,3,1,2,2,0,3,2
22,0,3,2,3,0,0,1,0,3,0,3,3,5,3,3,3,0,2,2,0,2,3
23,0,3,2,3,0,0,0,0,3,0,3,3,5,2,3,3,0,2,2,0,2,3
24,0,3,2,4,0,0,1,0,3,0,2,3,5,2,2,3,0,2,2,0,3,2
25,0,3,2,3,0,2,1,3,3,0,3,3,5,3,3,3,1,2,3,0,2,3
26,0,3,2,3,0,2,0,3,3,0,3,3,5,3,3,3,0,2,3,0,2,3
27,0,3,2,3,0,0,0,0,3,0,2,3,5,2,2,3,0,2,2,0,3,2
28,0,3,2,3,0,0,0,3,3,0,3,3,5,3,3,3,0,2,3,0,2,3
29,0,3,2,3,0,0,0,2,3,0,2,3,5,2,2,3,0,2,2,0,3,2
30,0,3,2,3,0,0,0,0,3,0,3,3,5,3,3,3,0,2,2,0,2,3
31,1,3,2,4,0,0,1,2,3,0,2,3,5,2,2,3,1,2,2,0,2,2
32,1,3,2,3,0,0,0,2,3,0,2,3,5,2,2,3,1,2,2,0,2,2
33,0,3,2,3,0,0,0,0,3,0,2,3,5,2,3,3,0,2,2,0,2,2
34,0,3,2,3,0,0,0,0,3,0,2,3,5,2,3,3,0,2,2,0,2,2
35,0,3,2,3,0,0,0,2,3,0,2,3,5,2,2,3,0,2,2,0,3,2
36,1,3,2,3,0,0,0,2,3,0,2,3,5,2,2,3,1,2,2,0,3,2
37,0,3,2,3,0,0,0,2,3,0,2,3,5,2,2,3,0,2,2,0,3,2
38,0,3,2,4,0,2,1,3,3,0,2,3,5,2,3,3,0,2,2,0,2,3
