persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,2,1,3,2,1,2,2,2,2,1,1,2,3,1,2,2,1,3,2,1,2,3
2855,3,1,2,2,1,2,2,3,3,2,1,3,3,1,2,3,3,3,3,1,2,3
2948,2,1,3,2,1,2,3,2,2,1,2,2,3,1,2,2,1,3,3,1,2,3
3912,3,1,2,3,2,2,2,3,3,2,2,3,3,2,3,3,1,3,3,1,2,3
5030,3,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,3,2,3,2,2,3
5280,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3
5312,2,2,3,2,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2
5514,3,1,2,2,1,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3
5686,3,1,2,3,1,2,2,3,3,2,1,3,3,1,3,3,0,2,3,1,2,3
6851,3,1,2,2,1,2,2,3,3,1,1,3,4,1,3,3,1,3,3,1,2,3
7086,3,1,2,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,3,2,2,3
8257,2,1,3,2,1,2,2,2,2,2,1,2,3,1,2,2,1,3,3,1,2,3
8864,3,1,2,2,2,2,2,3,3,2,2,3,3,2,2,2,3,3,3,2,2,3
8927,3,1,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3
10169,3,1,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,3,2,1,2,2
10219,3,1,2,2,1,2,2,3,2,1,1,2,3,1,2,2,1,3,3,1,2,3
10648,1,1,3,2,1,3,4,1,2,1,1,2,3,1,1,1,1,4,2,1,3,2
11938,3,1,3,2,1,2,3,2,2,1,1,2,3,1,2,2,2,3,2,2,3,2
14464,1,1,4,1,1,3,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
14557,2,1,3,2,2,2,3,2,2,2,2,2,3,1,2,2,2,3,2,2,3,2
14854,3,1,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3
15010,3,1,2,2,2,1,1,3,3,2,2,3,3,2,3,3,3,2,3,2,2,3
16216,1,1,4,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
16589,4,1,2,3,1,1,1,4,4,1,1,4,3,1,3,3,4,2,4,3,1,4
17412,3,1,2,2,1,2,2,3,3,2,1,3,3,1,2,2,2,3,3,2,2,3
17784,3,1,3,2,1,2,2,3,2,2,1,3,3,1,2,2,2,3,3,1,2,3
18323,3,1,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,1,2,3
18474,3,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,3
19067,3,1,2,3,2,2,2,3,3,3,2,3,3,2,3,3,3,2,3,2,2,3
19776,1,1,3,1,1,3,4,1,2,1,1,2,4,1,1,1,1,4,1,1,4,1
20359,3,1,2,2,1,2,2,3,3,2,1,3,3,1,2,3,3,3,3,2,2,3
