persona_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
282,1,1,3,1,1,4,4,3,1,1,1,1,4,2,1,2,1,4,1,1,2,1
2855,1,1,4,1,1,4,3,1,1,1,1,1,4,1,1,1,1,4,1,1,4,3
2948,1,1,4,2,1,3,4,1,1,1,1,1,3,2,1,1,1,4,1,1,0,1
3912,1,1,4,1,1,2,4,1,1,1,1,1,3,1,1,2,1,4,1,1,4,1
5030,1,2,4,3,2,2,0,2,1,1,1,2,4,1,1,3,1,4,3,1,1,3
5280,2,1,3,1,1,1,4,1,2,1,2,1,4,1,1,1,1,4,1,1,2,1
5312,1,1,4,1,1,4,4,2,2,1,1,2,4,2,1,1,2,4,2,2,4,2
5514,1,1,3,2,1,4,4,1,3,1,1,1,4,1,2,1,1,4,1,1,4,2
5686,1,1,3,1,1,4,3,1,1,1,1,1,3,1,1,1,1,3,1,1,4,1
6851,1,1,4,2,1,1,4,1,1,1,1,1,4,0,1,3,1,4,1,2,4,1
7086,1,1,4,1,1,4,3,1,1,1,1,4,4,1,2,1,1,4,1,1,2,1
8257,1,1,4,1,1,1,4,1,1,1,1,2,4,1,1,1,1,4,4,1,3,1
8864,3,1,4,3,2,4,2,2,2,2,3,1,4,1,1,2,1,4,2,1,1,1
8927,1,2,4,1,1,4,4,1,1,2,1,1,4,1,1,1,1,4,1,1,4,1
10169,1,1,4,2,1,3,2,1,2,1,2,1,4,1,1,1,1,4,2,1,4,1
10219,1,1,4,1,1,4,4,1,2,2,1,1,4,1,1,1,1,4,1,2,4,1
10648,1,2,3,1,2,3,3,0,1,2,1,1,4,1,1,2,1,4,1,1,3,1
11938,1,1,4,1,2,4,4,1,1,1,1,1,4,1,1,1,2,4,1,2,4,1
14464,2,1,4,2,1,4,4,1,2,2,0,2,3,1,1,1,2,4,2,0,4,1
14557,1,2,4,1,2,4,4,1,1,1,2,3,4,2,1,1,1,4,1,1,4,1
14854,1,1,4,1,2,3,3,1,1,1,1,1,4,1,2,3,1,4,1,1,2,4
15010,1,1,4,1,1,3,4,1,1,1,1,1,4,1,1,1,2,3,2,1,2,2
16216,1,1,3,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
16589,5,1,2,1,1,2,0,3,4,1,1,1,4,1,1,4,2,1,4,1,4,1
17412,2,1,4,2,2,4,3,1,2,2,1,1,4,1,1,1,1,4,1,1,2,1
17784,1,1,4,1,1,4,4,1,1,1,1,1,4,2,1,1,1,4,1,1,4,1
18323,2,1,3,1,1,4,3,1,1,2,1,3,2,1,1,1,1,3,2,1,4,1
18474,1,1,3,1,1,4,4,1,1,1,2,1,4,2,2,2,1,4,1,2,4,1
19067,1,1,4,1,1,2,4,1,1,1,1,1,4,1,2,1,1,3,3,1,3,1
19776,1,0,4,1,1,4,4,1,1,1,1,1,3,1,1,1,1,4,1,1,4,1
20359,1,1,4,1,1,2,4,1,1,1,1,1,4,1,1,1,2,4,1,1,2,1
20529,1,1,4,1,1,2,4,1,1,1,1,1,4,1,1,1,1,2,1,1,4,1
20860,1,1,4,1,1,4,3,1,1,1,2,2,3,1,3,1,2,4,2,1,1,1
21427,1,1,3,1,1,4,4,1,2,1,1,1,4,1,1,1,2,4,2,1,4,1
22745,1,1,3,2,1,2,4,1,1,1,1,2,3,1,1,2,1,4,1,2,2,2
23193,1,1,3,1,2,1,4,1,2,1,2,1,3,1,1,1,2,3,1,1,3,1
23512,2,1,4,1,2,4,3,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
24776,1,1,4,1,2,3,4,2,1,1,1,2,4,1,1,1,2,4,1,2,3,1
25818,2,1,4,1,1,4,4,1,1,1,2,1,4,1,1,1,2,4,1,1,4,2
28600,1,1,4,1,2,4,4,1,1,1,1,1,4,1,1,1,2,4,1,1,4,1
28692,3,1,3,1,2,0,4,3,5,1,1,2,2,2,1,1,3,4,1,1,4,1
30625,1,1,4,1,1,2,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
30973,1,1,1,1,1,4,4,1,3,1,1,1,4,1,1,1,1,4,1,1,4,3
32146,3,1,4,1,1,4,4,1,2,1,2,1,4,1,2,1,1,3,3,2,2,1
32281,1,1,2,2,2,3,4,3,1,1,1,3,4,1,1,3,1,4,3,1,1,1
32302,1,0,4,2,1,2,4,1,1,1,1,1,3,1,1,1,1,4,1,1,4,1
33110,1,1,4,1,1,2,4,1,1,1,1,3,3,1,1,1,1,4,1,1,3,1
33429,1,2,4,2,1,4,4,1,3,1,1,1,4,1,2,1,1,4,1,2,4,1
34126,1,1,4,2,1,4,4,1,1,1,1,1,4,1,1,1,1,2,1,1,4,1
35074,1,1,4,1,1,4,2,1,2,1,1,1,4,2,1,1,1,4,1,1,4,1
35440,1,1,2,1,1,4,4,3,2,1,1,1,4,1,1,1,4,3,1,1,2,1
37306,1,2,4,1,2,1,4,1,4,1,1,1,4,1,1,1,1,4,1,1,1,1
38004,2,1,3,1,1,3,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
38324,2,1,5,1,1,3,4,1,1,1,0,1,3,1,2,1,1,4,1,1,4,1
38405,2,2,4,1,1,4,4,2,2,1,1,1,4,1,1,2,0,4,1,1,4,1
40500,2,1,4,1,2,4,4,1,1,2,1,2,3,1,1,1,1,3,1,1,4,1
41140,1,1,4,1,1,4,4,1,2,1,1,1,4,1,1,1,1,3,2,1,4,1
43244,1,1,4,1,1,4,4,1,4,1,1,1,4,2,2,1,2,4,1,1,4,1
43526,1,1,4,1,1,2,4,1,3,1,1,1,4,1,4,1,1,4,3,1,2,3
44957,1,1,4,1,2,1,4,1,2,1,1,2,3,1,1,1,1,2,2,1,3,2
44963,1,1,3,1,2,3,4,3,1,2,1,1,4,1,1,1,1,4,1,1,4,1
45423,1,1,4,2,1,4,2,1,2,1,1,1,4,2,1,1,1,4,2,1,4,1
45856,1,2,4,1,1,3,4,1,1,1,1,2,4,1,1,1,1,4,1,1,4,1
46591,1,1,2,1,1,4,4,1,1,1,1,1,3,1,3,2,1,4,1,1,1,1
46790,3,1,4,1,1,4,4,1,1,1,1,1,4,1,1,1,3,4,1,1,4,4
47369,1,1,4,1,1,4,4,1,1,2,1,1,4,1,1,1,1,4,1,1,4,1
48405,1,1,3,2,1,4,4,1,1,1,2,1,4,1,1,1,1,4,1,1,4,2
48545,3,1,2,2,1,2,0,5,3,1,1,3,3,1,1,1,2,3,4,3,1,2
50492,2,1,4,1,1,3,4,1,2,1,1,2,4,2,1,1,3,4,1,1,4,1
50747,1,1,3,1,1,3,3,2,2,1,1,1,4,1,1,1,1,4,2,1,2,1
50839,1,1,4,1,1,4,4,4,3,1,2,3,4,2,1,2,3,4,2,1,3,2
51881,1,1,4,2,1,2,3,1,4,2,1,4,4,2,1,1,3,3,1,1,2,2
52313,1,1,4,2,1,4,3,1,1,1,1,1,4,1,1,1,2,4,1,1,4,1
52497,1,1,2,1,1,3,3,1,1,1,1,1,3,1,2,1,1,4,1,1,4,1
53252,1,1,3,1,1,4,4,1,1,1,1,1,4,1,1,2,2,4,1,1,4,1
54658,1,1,4,1,2,4,4,1,1,2,0,2,4,1,1,1,2,3,1,1,4,1
56726,1,1,4,1,1,2,4,1,1,1,1,1,4,1,1,1,1,4,2,1,3,3
56808,1,1,4,1,1,2,4,1,1,1,1,1,4,1,1,1,1,3,1,1,4,1
57829,1,1,4,2,1,4,4,1,1,1,1,1,4,1,1,1,1,4,4,1,2,1
58267,1,1,4,1,1,2,4,3,1,1,2,1,4,1,1,1,1,4,1,1,4,1
58290,1,1,3,1,1,3,4,1,1,1,1,1,4,1,3,1,1,4,1,1,2,1
58412,1,1,4,1,1,4,2,1,1,0,1,1,4,1,1,0,1,4,0,1,4,1
58838,1,1,3,1,1,3,3,1,1,1,2,1,4,1,1,2,1,3,1,1,4,2
59059,1,1,3,1,2,2,4,2,2,1,1,1,4,1,2,1,1,3,3,2,2,3
60046,1,1,4,1,1,4,3,1,1,1,1,1,4,2,1,1,1,4,1,1,4,1
61007,2,1,4,1,1,0,4,1,2,1,1,1,4,1,1,1,3,1,3,2,0,3
61594,2,1,4,2,1,3,4,1,1,1,1,1,4,2,1,1,1,3,1,1,4,1
62283,3,1,2,1,1,1,3,1,1,1,2,1,3,1,3,1,3,4,1,1,4,1
62555,1,1,4,1,2,2,4,3,1,2,1,2,4,2,1,2,1,4,1,1,2,1
63796,1,2,4,1,2,4,4,1,2,1,1,3,4,2,1,1,3,4,1,1,1,1
63866,1,1,4,1,2,1,3,1,1,1,1,1,3,1,1,1,2,4,2,1,3,1
64924,1,2,3,1,1,3,4,1,1,2,1,1,4,1,1,1,1,4,1,1,4,1
65237,1,1,4,1,1,2,4,1,2,1,1,1,4,1,1,1,1,4,1,1,4,1
65380,1,1,4,1,1,4,3,1,3,1,1,1,4,1,1,1,1,3,2,1,4,3
65648,1,1,4,2,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
65835,2,1,3,3,1,4,2,1,1,1,1,2,4,1,1,1,1,4,1,1,4,1
65917,1,1,3,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
66045,1,2,4,1,0,4,4,1,1,1,0,1,4,2,1,1,0,4,1,1,4,1
66750,1,1,4,1,1,4,4,1,2,1,1,2,4,1,1,1,2,4,1,1,4,1
67977,1,1,4,1,1,4,4,1,1,1,1,1,4,2,1,1,1,4,1,1,4,1
68097,1,1,4,1,1,4,4,1,1,2,0,2,3,1,1,1,1,3,1,1,3,1
68833,1,1,2,2,1,4,4,1,2,1,1,3,4,1,3,1,1,3,1,1,3,1
69531,1,2,4,1,1,4,4,1,1,1,1,3,3,1,1,1,1,3,3,1,1,1
69851,1,2,3,1,1,4,4,1,1,1,1,1,3,1,1,3,1,4,1,1,4,1
69956,1,1,3,1,1,4,4,1,2,1,1,1,4,2,1,1,1,4,1,2,3,1
71245,1,1,4,1,1,2,4,2,3,1,1,1,3,1,1,1,1,4,1,1,4,2
71337,1,1,4,1,1,2,4,1,1,1,1,1,4,1,1,2,1,3,1,1,3,1
71674,1,1,4,1,1,1,4,1,1,1,1,1,4,1,2,1,1,4,1,1,4,1
71967,1,2,4,1,2,3,4,1,3,1,1,2,3,1,1,2,3,3,3,1,3,1
75220,1,1,4,1,1,2,4,1,2,1,1,1,4,1,2,1,3,4,1,1,4,2
75626,2,1,4,1,1,1,2,1,2,2,2,1,4,1,1,1,1,4,1,1,4,1
75859,1,1,4,1,1,4,4,2,1,2,1,1,4,2,1,2,2,3,1,1,4,1
76421,0,1,4,1,1,5,4,1,0,1,0,1,4,1,1,0,1,4,2,0,5,1
76660,3,2,4,1,1,4,4,1,2,1,1,1,4,1,1,3,1,4,1,1,4,1
77188,1,0,4,1,1,2,4,1,3,1,1,1,4,1,1,1,1,4,2,1,4,1
77440,1,2,3,1,1,4,4,1,1,1,1,1,3,2,2,1,1,4,1,2,4,1
77493,1,1,4,1,1,3,4,1,1,1,1,1,4,1,3,1,1,3,1,3,4,1
78152,1,1,4,2,1,1,4,2,2,1,1,3,4,1,1,1,1,4,1,1,4,1
78625,2,1,3,2,1,2,4,1,1,1,2,1,3,2,3,2,1,4,4,1,4,2
79218,2,1,4,1,2,4,4,1,1,1,1,1,3,1,2,1,2,3,1,1,4,3
79513,3,2,4,1,1,1,2,1,2,2,1,1,4,1,1,2,2,4,4,2,2,2
79628,1,1,3,1,1,4,3,1,2,1,1,1,3,1,2,1,1,4,3,1,3,2
79990,1,1,3,2,1,3,5,3,2,2,1,1,4,1,3,1,1,4,1,1,4,3
81383,1,1,1,3,1,2,4,1,1,1,1,1,3,1,1,1,1,3,2,1,1,3
81674,1,1,3,1,1,2,3,1,1,1,1,1,3,1,1,1,1,3,1,1,4,1
81777,1,1,4,1,1,4,2,1,1,2,1,1,4,1,1,1,1,4,2,1,4,1
82166,1,1,2,2,1,3,4,2,1,1,1,2,4,1,1,1,1,3,1,1,4,2
82569,4,1,4,1,1,1,4,1,1,1,1,1,4,1,1,3,1,4,2,1,4,1
83090,1,1,4,1,1,4,4,1,1,2,1,1,4,1,1,1,2,4,1,1,4,1
83215,3,1,4,1,1,3,4,1,1,1,1,1,4,1,1,1,1,4,1,0,4,1
83380,1,1,3,1,1,2,3,2,1,1,1,2,4,2,1,1,2,4,1,1,3,1
85049,1,2,2,4,2,3,4,2,2,3,1,2,4,3,2,3,0,4,2,1,3,2
85519,1,1,3,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
86879,1,1,4,2,1,1,4,1,3,1,1,1,4,1,1,2,1,4,1,2,4,1
87201,1,1,4,1,1,4,5,1,1,1,1,1,4,2,1,1,1,3,1,2,4,1
87232,1,2,4,1,1,2,3,4,2,1,1,1,3,1,1,2,2,4,1,2,4,4
87283,1,1,3,1,1,4,2,1,1,2,1,2,3,1,2,1,1,4,4,1,3,1
87863,1,2,4,1,1,3,2,1,3,1,1,1,4,1,1,2,1,4,1,1,3,1
88247,2,1,3,1,1,2,4,3,1,1,1,1,4,1,1,1,3,4,1,1,4,1
88716,2,1,4,1,2,4,4,1,2,1,1,1,4,2,1,1,1,3,1,1,4,3
89604,1,1,3,1,1,2,4,1,2,1,1,1,4,1,2,1,1,4,1,1,4,2
89643,1,1,5,0,1,4,5,0,1,1,0,0,5,1,1,0,1,4,1,0,4,1
90066,1,1,4,1,1,4,4,1,1,1,2,1,4,1,1,1,1,4,1,1,2,1
90923,1,2,4,1,1,3,4,1,1,1,1,1,4,2,1,1,3,3,1,1,4,2
91035,1,1,3,2,1,2,2,1,3,1,1,1,3,1,2,2,1,4,3,1,4,1
91223,3,1,4,1,1,1,4,1,3,1,1,1,4,2,1,1,1,4,3,1,4,3
91241,1,1,4,1,2,2,4,3,1,1,0,2,3,1,1,1,2,4,3,1,4,1
92194,1,1,4,2,1,2,4,1,2,1,1,3,4,1,2,1,1,4,3,1,1,1
92902,1,1,4,1,1,4,4,1,1,1,2,1,4,2,1,1,1,4,1,1,4,1
92952,3,1,4,1,1,2,2,1,4,1,1,1,4,1,2,2,1,4,3,3,4,2
94032,1,1,4,1,1,0,3,2,1,1,1,2,4,1,2,1,1,4,1,1,1,1
95430,2,1,4,1,2,4,4,1,1,1,2,1,3,1,1,1,1,4,1,1,4,3
95807,1,1,4,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
96050,1,1,4,2,1,4,4,1,1,1,1,1,3,1,2,2,2,2,1,1,3,1
96201,3,1,2,1,1,1,2,4,2,1,1,1,4,1,1,1,1,3,4,1,2,4
97009,1,2,4,1,1,4,4,2,1,2,1,1,4,1,1,1,1,4,1,1,2,2
97477,1,1,4,1,1,4,4,3,1,1,1,1,4,1,1,1,2,4,1,1,2,1
98400,1,1,3,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
99045,2,1,3,2,1,4,4,1,2,2,1,1,2,1,1,1,1,4,1,1,4,1
102060,3,1,4,2,2,2,4,1,1,1,1,2,4,2,1,2,2,2,1,1,3,1
102387,1,2,4,1,1,4,1,1,1,1,2,1,4,1,2,3,1,4,1,1,2,1
102860,1,1,4,2,2,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,3,1
104167,1,1,3,1,1,4,4,1,5,1,1,2,3,1,1,1,2,4,1,2,5,1
104799,1,1,4,1,1,4,2,1,1,1,1,1,4,2,1,1,1,4,1,1,4,1
104815,0,1,4,1,1,3,1,1,1,1,0,2,4,2,1,1,1,4,1,1,4,2
106753,3,1,4,2,1,2,3,1,2,1,1,1,4,1,1,1,1,3,1,2,4,1
108152,1,1,4,2,1,4,4,3,2,1,1,2,3,1,1,1,1,4,1,1,4,1
108437,1,1,4,2,1,4,4,1,4,1,1,1,4,1,3,1,1,4,1,1,2,3
108473,2,1,3,1,1,2,3,2,2,3,1,2,4,1,1,1,1,4,1,2,4,1
108966,1,1,3,1,1,4,4,1,1,1,1,1,4,3,4,3,1,4,1,1,4,2
109216,3,1,3,1,2,3,3,1,1,1,1,1,3,1,2,1,3,4,1,1,4,1
111837,2,1,4,1,1,2,4,3,1,1,1,1,4,1,1,1,1,4,1,1,3,3
112277,3,1,4,1,1,4,4,1,1,1,1,1,4,1,1,1,1,3,1,1,4,1
113494,1,4,4,1,1,1,2,1,1,1,1,1,4,1,2,1,3,4,2,1,4,2
114157,1,1,4,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
114830,1,1,4,1,1,4,4,1,1,1,1,1,3,1,1,1,3,4,3,1,0,1
117082,1,1,4,2,1,4,4,1,1,1,1,1,4,1,1,1,4,4,1,1,4,1
117495,1,1,3,1,2,4,4,1,1,1,1,2,4,1,2,1,2,4,1,1,2,1
118017,1,1,4,1,1,4,4,1,1,1,1,1,4,1,1,1,1,3,1,1,4,1
118048,1,1,4,1,1,4,3,1,1,1,1,1,4,1,1,2,1,4,1,1,2,1
119498,1,1,4,2,1,4,3,3,1,1,1,1,4,1,1,1,3,4,3,1,4,1
123204,1,1,4,2,0,4,4,1,1,1,2,2,4,1,2,3,1,4,3,1,4,1
124991,1,1,2,1,2,1,4,3,1,1,1,1,4,1,1,1,1,4,1,1,2,1
125723,1,1,2,2,1,4,4,1,2,1,1,2,4,2,1,1,1,4,1,1,3,2
125823,3,1,4,1,1,4,4,1,3,1,1,1,4,1,1,1,1,4,3,1,4,1
126701,1,1,4,1,0,3,4,1,1,1,1,1,4,1,2,1,0,4,1,1,4,1
126960,1,1,4,1,1,4,4,1,1,1,1,1,4,1,0,3,2,4,0,1,4,1
127472,2,1,4,1,1,3,3,1,1,1,1,3,4,1,3,1,1,4,1,1,4,1
128466,1,1,4,1,1,4,4,1,1,1,1,1,4,1,1,1,1,3,1,1,3,1
128684,1,1,4,1,1,2,4,1,1,1,1,1,4,2,1,1,2,4,1,1,3,1
128983,2,1,4,1,1,4,1,1,1,2,2,1,3,1,1,2,1,4,1,1,3,3
129024,1,1,4,2,2,2,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
129668,1,1,4,1,1,2,3,3,3,2,1,3,4,1,1,1,4,4,3,1,4,3
130858,1,1,1,1,1,2,3,1,1,1,1,1,3,1,3,1,1,3,3,0,3,1
131658,1,1,4,3,1,1,4,1,2,1,2,1,4,1,1,1,1,4,1,1,4,1
133283,1,1,4,1,1,2,4,1,1,1,1,1,4,1,1,1,1,4,2,1,4,1
133765,1,1,2,1,2,4,4,2,1,1,1,3,4,1,1,1,1,4,1,1,3,1
133784,1,1,4,1,1,3,4,1,3,1,1,3,4,1,1,1,1,4,1,1,4,1
134476,1,1,3,1,2,3,2,1,1,1,1,1,4,1,1,3,1,3,2,1,4,2
135086,2,1,2,1,1,3,4,3,2,1,1,5,4,1,1,1,1,4,1,2,4,4
135608,1,1,4,1,1,1,3,3,1,2,1,1,4,1,1,1,1,4,1,1,2,1
136355,2,1,4,2,1,1,0,1,1,1,1,1,3,1,1,1,1,2,1,1,0,1
136776,2,1,3,1,1,1,3,1,2,2,1,1,4,1,1,1,1,4,2,1,2,1
138366,1,1,4,1,1,2,4,1,2,1,1,1,4,1,1,2,1,4,1,1,4,1
138518,1,2,3,3,1,1,3,1,1,1,1,1,4,1,1,1,1,4,1,1,3,1
139222,1,1,4,2,2,3,4,1,1,1,1,1,4,1,1,1,1,4,1,1,3,1
140074,2,1,4,2,1,4,4,1,2,3,1,1,4,1,2,2,1,4,3,1,4,1
140363,1,1,4,3,1,4,2,1,1,2,1,1,4,1,1,1,1,4,2,1,4,1
141480,1,1,4,2,1,3,1,1,1,1,2,1,4,1,1,1,2,4,1,2,4,1
141687,3,1,4,1,2,4,4,1,2,1,1,2,3,1,1,1,1,4,1,1,4,1
141833,1,1,4,2,1,1,4,1,1,1,1,1,4,1,2,1,1,4,1,1,4,1
142284,1,1,4,2,1,4,4,1,1,1,1,2,4,1,1,2,1,4,1,1,4,1
142307,2,1,2,1,1,4,2,1,1,1,1,1,4,1,1,1,3,4,1,1,3,1
144040,4,1,2,3,1,4,1,1,3,2,1,3,4,1,1,1,1,2,3,2,4,1
144222,1,1,4,1,2,4,3,1,1,1,1,1,4,1,1,1,1,4,1,1,2,3
145625,3,2,4,1,2,2,2,3,1,1,1,1,3,3,1,1,3,3,2,1,4,1
145710,2,1,4,1,1,2,4,1,1,1,1,3,4,1,1,1,2,4,1,1,3,1
146223,1,1,3,1,1,4,4,1,2,1,1,2,4,2,1,1,1,4,3,1,2,1
146832,1,1,4,1,1,4,2,3,1,1,1,1,4,1,2,1,1,4,1,1,3,1
146850,1,1,4,1,1,4,3,1,1,1,2,1,4,1,1,1,1,4,1,1,4,2
147219,1,1,3,1,1,4,4,2,1,1,1,1,4,1,1,1,2,3,1,1,4,1
147377,1,2,4,1,1,3,4,1,1,1,1,1,2,1,1,2,1,4,1,1,4,3
