persona_id,1,2,3,4,5,6,7,8
282,2,4,4,4,4,4,2,2
2855,2,4,2,2,4,4,2,2
2948,2,4,2,4,4,4,2,2
3912,2,4,2,2,4,2,2,2
5030,2,4,2,2,4,4,2,2
5280,2,4,2,2,2,2,2,2
5312,2,4,2,2,2,4,2,2
5514,2,4,2,2,4,4,2,2
5686,2,4,2,2,2,2,2,2
6851,2,4,2,4,4,4,2,2
7086,2,4,2,2,4,2,2,2
8257,2,4,2,2,4,4,2,2
8864,2,4,4,4,4,4,2,2
8927,2,4,2,2,2,4,2,2
10169,2,4,2,2,4,4,2,2
10219,2,4,2,2,2,2,2,2
10648,2,4,5,2,5,5,1,5
11938,2,4,2,2,4,2,2,2
14464,2,4,2,2,2,2,4,2
14557,2,4,2,2,4,4,2,2
14854,2,4,2,2,4,4,2,2
15010,2,4,2,2,2,2,2,2
16216,2,4,2,2,2,2,4,2
16589,2,4,2,2,4,4,2,2
17412,2,4,2,2,2,2,2,2
17784,2,4,2,2,4,4,2,2
18323,2,4,2,2,4,4,2,2
18474,2,4,2,2,4,4,2,2
19067,2,4,2,2,4,4,2,2
19776,2,4,2,2,2,2,4,2
20359,2,4,2,2,4,2,2,2
20529,2,4,2,2,4,2,2,2
20860,2,4,2,2,2,4,2,2
21427,2,4,2,2,4,4,2,2
22745,2,4,2,2,4,4,2,2
23193,2,4,2,2,4,4,2,2
23512,2,4,2,4,4,4,2,2
24776,2,4,2,2,4,2,2,2
25818,2,4,2,2,4,4,2,2
28600,2,4,2,2,4,2,4,2
28692,2,4,2,2,4,4,2,2
30625,2,4,2,2,4,4,2,2
30973,2,4,2,2,4,4,2,2
32146,2,4,2,2,4,4,2,2
32281,2,4,2,2,4,2,2,2
32302,2,4,2,2,2,2,4,2
33110,4,4,4,4,4,4,2,4
33429,2,4,2,2,4,4,2,2
34126,2,4,2,2,4,4,2,2
35074,2,4,2,2,4,2,2,2
35440,2,4,2,2,4,4,2,2
37306,2,4,2,2,4,4,2,2
38004,2,4,2,2,4,4,2,2
38324,2,4,2,2,2,2,4,2
38405,2,4,2,2,2,2,2,2
40500,2,4,2,2,3,2,2,2
41140,2,4,4,2,4,4,2,2
43244,2,4,2,2,4,4,2,2
43526,2,4,4,4,4,4,2,2
44957,2,4,2,2,4,4,2,2
44963,2,4,2,2,4,4,2,2
45423,2,4,2,2,4,4,2,2
45856,2,4,2,2,4,2,2,2
46591,2,4,2,2,4,2,2,2
46790,2,4,2,4,4,4,2,2
47369,2,4,2,2,5,2,2,2
48405,2,4,2,2,2,2,2,2
48545,2,4,2,2,4,4,2,2
50492,2,4,2,4,4,4,2,2
50747,2,4,2,2,4,4,2,2
50839,2,4,2,2,2,4,2,2
51881,2,4,2,2,4,4,2,2
52313,2,4,2,2,4,4,2,2
52497,2,4,2,2,4,4,2,2
53252,2,4,2,2,2,2,4,2
54658,2,4,2,2,2,2,4,2
56726,2,4,2,2,4,4,2,2
56808,2,4,4,2,4,4,2,2
57829,2,4,2,4,4,4,2,2
58267,2,4,2,2,4,4,2,2
58290,2,4,2,2,4,4,2,2
58412,2,4,2,2,4,2,2,2
58838,2,4,2,2,4,4,2,2
59059,2,4,2,4,4,4,2,2
60046,2,4,2,2,4,4,2,2
61007,2,4,2,2,4,4,2,2
61594,2,4,2,2,4,2,2,2
62283,4,2,4,4,4,4,2,4
62555,2,4,2,2,4,4,2,2
63796,2,4,4,2,4,4,2,2
63866,2,4,2,2,4,4,2,2
64924,2,4,2,2,4,2,2,2
65237,2,4,2,2,4,4,2,2
65380,2,4,2,2,4,2,2,2
65648,2,4,4,4,4,4,2,2
65835,2,4,2,2,4,4,2,2
65917,2,4,2,2,4,2,2,2
66045,2,4,2,2,2,2,4,2
66750,2,4,2,2,4,4,2,2
67977,2,4,2,2,4,4,2,2
68097,2,4,2,2,4,4,2,2
68833,2,4,2,2,4,4,2,2
69531,2,4,2,2,4,4,2,2
69851,2,4,2,2,2,2,4,2
69956,2,4,2,2,4,4,2,2
71245,2,4,2,2,4,2,2,2
71337,2,4,2,2,2,2,2,2
71674,2,4,2,4,4,4,2,2
71967,2,4,2,2,2,2,2,2
75220,2,4,2,2,4,4,2,2
75626,2,4,2,2,4,4,2,2
75859,2,4,2,2,4,4,2,2
76421,2,4,2,2,2,2,4,2
76660,2,4,2,2,2,2,2,2
77188,2,4,2,2,2,2,4,2
77440,2,4,2,2,4,4,2,2
