random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0
2,1.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0
3,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
4,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0
5,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0
6,1.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0
7,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0
8,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0
9,3.0,3.0,2.0,3.0,0.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,2.0,3.0,5.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
10,2.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
11,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
12,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
13,1.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0
14,3.0,3.0,5.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0
15,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
16,1.0,0.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0
17,1.0,1.0,4.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,0.0,0.0,4.0,2.0
