random_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
2,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0
3,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
4,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,0.0,1.0,4.0
5,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
6,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0
7,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
8,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0
9,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
10,4.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0
11,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0
12,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
